"","X","Gene_symbol",".T0.s1",".T0.s2",".T0.s3",".T96.s4",".T96.s5",".T96.s6"
"11770",11770,"P3h3",205.6583176,194.0308158,172.8698031,424.0624283,421.3888576,491.2097444
"11771",11771,"P3h4",240.2550439,218.3828615,228.2269873,172.5411599,114.8284637,169.4876597
"11772",11772,"P4ha1",995.616902,999.2194237,883.772589,1044.967588,1058.739505,1131.609225
"11773",11773,"P4ha2",676.5582037,655.9341343,780.82765,793.4463199,929.162431,854.5425718
"11774",11774,"P4ha3",122.0495623,157.8955221,205.8898779,18.22617887,27.39027574,19.28302715
"11775",11775,"P4hb",5621.007008,5682.667698,5701.789967,6528.61727,5911.0322,6538.975998
"11776",11776,"P4htm",73.03753335,69.12838781,60.21307749,87.48565855,100.0798537,81.19169328
"11777",11777,"Pa2g4",7876.52136,7889.277258,7645.118484,4245.484597,4165.428857,4455.394169
"11778",11778,"Pabir1",11.53224211,16.49654709,11.65414403,15.79602168,14.74861002,20.29792332
"11779",11779,"Pabir2",139.3479255,124.1168781,129.166763,126.3681735,161.181238,145.1301517
"11780",11780,"Pabpc1",18492.91124,18589.25192,17791.02204,18018.40043,18715.98611,18252.90755
"11781",11781,"Pabpc1l2a",0,3.142199446,1.942357338,3.645235773,4.213888576,6.089376996
"11782",11782,"Pabpc2",4.805100878,12.56879778,16.51003738,13.3658645,14.74861002,9.134065494
"11783",11783,"Pabpc4",1274.312753,1268.663026,1265.445806,953.836694,1000.798537,951.9726038
"11784",11784,"Pabpc4l",2.883060527,0,0,18.22617887,6.320832864,18.26813099
"11785",11785,"Pabpn1",1899.936887,1920.669411,1883.11544,1240.595241,1249.417963,1488.852676
"11786",11786,"Pacc1",465.133765,521.605108,522.494124,590.5281952,604.6930107,719.5613817
"11787",11787,"Pacrgl",70.15447282,66.77173822,46.61657612,76.54995124,68.47568936,58.86397763
"11788",11788,"Pacs1",401.7064334,417.1269764,458.3963319,277.0379188,309.7208103,212.1132987
"11789",11789,"Pacs2",365.1876668,341.7141897,339.9125342,269.7474472,206.4805402,251.6942492
"11790",11790,"Pacsin1",73.99855353,91.90933379,69.92486418,266.1022114,200.1597074,282.1411342
