gene,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000121579,NAA50,869.9551067,-0.90241394,0.166379081,-5.423842558,5.83E-08,2.49E-06
ENSG00000104064,GABPB1,173.4819309,-1.330028335,0.245243949,-5.423287059,5.85E-08,2.49E-06
ENSG00000239900,ADSL,416.9734529,-1.013166855,0.186825952,-5.423052018,5.86E-08,2.49E-06
ENSG00000236285,NPM1P8,1034.125053,-0.910313872,0.167896126,-5.421887298,5.90E-08,2.50E-06
ENSG00000202231,ENSG00000202231,87.0472938,1.76681058,0.326097563,5.41804288,6.03E-08,2.55E-06
ENSG00000235674,LDHAP2,414.7337466,-1.089458006,0.201091118,-5.417733095,6.04E-08,2.55E-06
ENSG00000239607,RN7SL573P,81.56851065,3.204169328,0.591545719,5.416604707,6.07E-08,2.56E-06
ENSG00000258851,ENSG00000258851,83.48823032,2.310134946,0.426542467,5.41595533,6.10E-08,2.57E-06
ENSG00000215492,HNRNPA1P7,412.5616458,-1.080673511,0.199580601,-5.414722202,6.14E-08,2.58E-06
ENSG00000084731,KIF3C,597.3809722,0.983044497,0.18161893,5.412676398,6.21E-08,2.60E-06
ENSG00000143761,ARF1,2971.737499,-0.951150486,0.175825154,-5.409638283,6.32E-08,2.64E-06
ENSG00000163939,PBRM1,1236.710636,-0.815679421,0.150797369,-5.409109104,6.33E-08,2.64E-06
ENSG00000212296,SNORD72,42.18248818,2.73719487,0.506165562,5.407706634,6.38E-08,2.66E-06
ENSG00000067560,RHOA,1447.940899,-0.842064779,0.155747195,-5.406612808,6.42E-08,2.67E-06
ENSG00000087365,SF3B2,1250.490988,-0.951953911,0.176182992,-5.403211181,6.55E-08,2.71E-06
ENSG00000172534,HCFC1,758.9296771,-0.880093328,0.162881985,-5.403257647,6.54E-08,2.71E-06
ENSG00000133704,IPO8,251.0656188,-1.17287399,0.217339161,-5.396514752,6.79E-08,2.81E-06
ENSG00000150593,PDCD4,464.477458,1.053419446,0.195434845,5.390131142,7.04E-08,2.90E-06
ENSG00000106462,EZH2,660.3311897,-0.912234033,0.169305651,-5.388089686,7.12E-08,2.93E-06
ENSG00000092969,TGFB2,238.8073307,-1.250103292,0.232423375,-5.378560969,7.51E-08,3.08E-06
ENSG00000171604,CXXC5,571.6972641,-1.181305982,0.219636181,-5.378467142,7.51E-08,3.08E-06
ENSG00000100138,SNU13,323.6131169,-1.241475965,0.230947022,-5.375587666,7.63E-08,3.12E-06
ENSG00000286896,ENSG00000286896,1098.7094,0.837353195,0.155781235,5.375186514,7.65E-08,3.12E-06
ENSG00000182218,HHIPL1,248.188444,1.174241739,0.218486644,5.374432579,7.68E-08,3.13E-06
ENSG00000125835,SNRPB,448.0865371,-0.988919809,0.184168961,-5.369633435,7.89E-08,3.21E-06
ENSG00000064300,NGFR,1389.619454,-0.917805754,0.171474769,-5.352424496,8.68E-08,3.52E-06
ENSG00000055070,SZRD1,708.6089572,-1.051162634,0.19651578,-5.348998613,8.84E-08,3.58E-06
ENSG00000139112,GABARAPL1,132.9272725,1.478677928,0.276492355,5.347988468,8.89E-08,3.59E-06
ENSG00000143549,TPM3,1013.015082,-0.947389834,0.177282348,-5.343960309,9.09E-08,3.67E-06
ENSG00000213574,LDHAP5,351.5705711,-1.160507934,0.217288702,-5.340857227,9.25E-08,3.72E-06
