gene,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000145741,BTF3,2014.19451,-0.819596341,0.179245128,-4.5724888,4.82E-06,0.000114263
ENSG00000215105,TTC3P1,499.1308276,-0.839910318,0.183875795,-4.567813385,4.93E-06,0.000116704
ENSG00000214204,HNRNPA1P43,225.1906393,-1.131028326,0.247679285,-4.566503519,4.96E-06,0.000117298
ENSG00000236062,GSTM5P1,27.84668037,2.627945004,0.575607308,4.565517093,4.98E-06,0.000117713
ENSG00000172345,STARD5,43.0557119,2.266438475,0.496490713,4.564916153,5.00E-06,0.000117913
ENSG00000202174,RNA5-8SP5,134.9168086,1.308527642,0.286741948,4.563432915,5.03E-06,0.000118611
ENSG00000137770,CTDSPL2,489.3229706,-0.889555212,0.194952595,-4.56293087,5.04E-06,0.000118756
ENSG00000183684,ALYREF,245.4143079,-0.980581254,0.214968186,-4.561518027,5.08E-06,0.000119415
ENSG00000264573,RN7SL15P,61.21168729,2.439135005,0.534747746,4.561281508,5.08E-06,0.000119415
ENSG00000066136,NFYC,158.3017217,-1.188740918,0.26083998,-4.557357033,5.18E-06,0.000121385
ENSG00000204842,ATXN2,821.175374,-0.790839098,0.173524991,-4.557493968,5.18E-06,0.000121385
ENSG00000144152,FBLN7,83.35177584,2.380649442,0.52279643,4.553683433,5.27E-06,0.000123382
ENSG00000166948,TGM6,61.01919063,1.96874923,0.432440437,4.552648323,5.30E-06,0.000123714
ENSG00000184349,EFNA5,795.5115436,-0.841424211,0.184831392,-4.552387996,5.30E-06,0.000123714
ENSG00000185404,SP140L,49.23733042,2.969290836,0.652228825,4.552529297,5.30E-06,0.000123714
ENSG00000025800,KPNA6,275.4867356,-0.931439536,0.204672941,-4.550868,5.34E-06,0.00012437
ENSG00000104953,TLE6,112.5619105,2.373039737,0.521476367,4.550617993,5.35E-06,0.00012437
ENSG00000148154,UGCG,307.662967,-0.945602834,0.207799796,-4.550547462,5.35E-06,0.00012437
ENSG00000009790,TRAF3IP3,34.55899528,2.176018497,0.478253151,4.549930284,5.37E-06,0.000124592
ENSG00000250479,CHCHD10,287.2383267,1.038673691,0.228334896,4.548904731,5.39E-06,0.000125057
ENSG00000165119,HNRNPK,4565.227113,-0.760962183,0.167331362,-4.547636348,5.43E-06,0.000125525
ENSG00000171314,PGAM1,251.8397227,-0.932961236,0.205147627,-4.547755439,5.42E-06,0.000125525
ENSG00000229586,TNPO1P3,201.5542835,-1.167577864,0.256871266,-4.545381351,5.48E-06,0.000126731
ENSG00000206661,SNORA70,37.29354612,2.01253395,0.442935646,4.543626077,5.53E-06,0.000127645
ENSG00000165632,TAF3,312.4489555,-0.859111099,0.189114364,-4.54281251,5.55E-06,0.000127993
ENSG00000186174,BCL9L,435.5361393,-0.845450278,0.186155142,-4.541643418,5.58E-06,0.000128558
ENSG00000135486,HNRNPA1,1298.806908,-0.796851719,0.175501553,-4.540425458,5.61E-06,0.000129156
ENSG00000136295,TTYH3,861.545614,-0.783130013,0.172603149,-4.537171075,5.70E-06,0.000130953
ENSG00000197747,S100A10,416.0171618,-0.839143774,0.184954384,-4.537030999,5.71E-06,0.000130953
ENSG00000154556,SORBS2,121.5914081,1.324672361,0.292425507,4.529948072,5.90E-06,0.000135267
ENSG00000143632,ACTA1,199.6989353,-1.017613694,0.225112124,-4.520474841,6.17E-06,0.000141304
ENSG00000263761,GDF2,1226.758591,0.990217754,0.219095941,4.519562306,6.20E-06,0.000141754
ENSG00000166200,COPS2,857.3102949,-0.741029603,0.164022866,-4.517843275,6.25E-06,0.000142747
ENSG00000117411,B4GALT2,118.7636597,1.564048266,0.346319337,4.516202526,6.30E-06,0.000143535
ENSG00000235698,PA2G4P2,170.5067041,-1.114529148,0.246784745,-4.516199533,6.30E-06,0.000143535
ENSG00000214517,PPME1,1011.218787,-0.706452354,0.156498514,-4.514115418,6.36E-06,0.00014479
ENSG00000119673,ACOT2,36.0055985,2.317123462,0.513353385,4.513700565,6.37E-06,0.00014491
ENSG00000075856,SART3,168.9859503,-1.038954088,0.230199601,-4.513274939,6.38E-06,0.000145038
ENSG00000121089,NACA3P,501.4707468,-0.988597082,0.219162543,-4.510793994,6.46E-06,0.00014658
ENSG00000107831,FGF8,52.35095648,2.19393325,0.486552554,4.509139316,6.51E-06,0.000147396
ENSG00000293322,ENSG00000293322,129.0563289,-1.181505292,0.262013693,-4.509326516,6.50E-06,0.000147396
ENSG00000235137,HSP90AB6P,431.5933733,-0.83531123,0.185280042,-4.508371337,6.53E-06,0.000147545
ENSG00000263968,RN7SL381P,91.97661971,2.102578721,0.466345682,4.508626976,6.52E-06,0.000147545
ENSG00000293278,ENSG00000293278,153.2435888,-1.221930565,0.271045464,-4.508212559,6.54E-06,0.000147545
ENSG00000199744,SNORD36A,182.0487836,1.55387735,0.344950463,4.504639123,6.65E-06,0.000149883
ENSG00000200275,RNA5SP199,33.94558327,2.366354607,0.525792305,4.500550091,6.78E-06,0.000152455
ENSG00000206600,RNU6-25P,14.74770791,4.858593401,1.079499914,4.500781648,6.77E-06,0.000152455
ENSG00000092820,EZR,211.4174053,-1.104409119,0.245463637,-4.499277906,6.82E-06,0.000153029
ENSG00000136938,ANP32B,1316.642463,-0.803431499,0.178567222,-4.499322384,6.82E-06,0.000153029
ENSG00000119778,ATAD2B,328.2069222,-0.885501174,0.196931507,-4.49649316,6.91E-06,0.000154874
ENSG00000201861,RNA5SP298,48.2758069,2.131149194,0.474242628,4.493795096,7.00E-06,0.000156677
ENSG00000285776,5S_rRNA,36.67859921,2.055565593,0.457460945,4.493423136,7.01E-06,0.000156777
ENSG00000082497,SERTAD4,189.1896711,-1.022582017,0.227645689,-4.491989368,7.06E-06,0.000157662
ENSG00000132164,SLC6A11,59.37058914,2.237626728,0.498187219,4.491537801,7.07E-06,0.000157822
ENSG00000164104,HMGB2,3965.52107,-0.762873797,0.169867123,-4.491003232,7.09E-06,0.000158044
ENSG00000090905,TNRC6A,1055.010476,-0.712898223,0.158762842,-4.490334235,7.11E-06,0.000158192
ENSG00000139289,PHLDA1,336.8988397,-0.948688009,0.211265821,-4.490494506,7.11E-06,0.000158192
ENSG00000167460,TPM4,468.116102,-0.985892846,0.21964056,-4.488664786,7.17E-06,0.000159261
ENSG00000201201,RN7SKP118,230.4126619,1.309813129,0.291858496,4.487836219,7.20E-06,0.000159706
ENSG00000278249,SCARNA2,431.5401585,0.959181354,0.213868927,4.484902823,7.29E-06,0.000161741
ENSG00000184985,SORCS2,49.33258183,1.860937341,0.414985917,4.48433854,7.31E-06,0.000161992
ENSG00000131469,RPL27,903.1958605,-0.805221067,0.179593856,-4.483566888,7.34E-06,0.00016215
ENSG00000146733,PSPH,41.77004193,1.948725208,0.434641685,4.483521202,7.34E-06,0.00016215
ENSG00000241243,RN7SL629P,41.47572415,3.561456452,0.794359721,4.483430309,7.35E-06,0.00016215
ENSG00000185608,MRPL40,128.616371,-1.308982477,0.292039973,-4.482203114,7.39E-06,0.000162907
ENSG00000056586,RC3H2,1765.82236,-0.697180163,0.155560421,-4.481732292,7.40E-06,0.000163089
ENSG00000130254,SAFB2,370.661576,-0.883595639,0.197207666,-4.480533937,7.45E-06,0.000163829
ENSG00000207205,RNVU1-15,31.61773415,2.700612627,0.602798399,4.480125747,7.46E-06,0.000163964
ENSG00000274618,H4C6,144.3755456,-1.20882026,0.269930101,-4.478271435,7.52E-06,0.000165214
ENSG00000259078,PTBP1P,177.8009155,-1.030178081,0.230120696,-4.47668593,7.58E-06,0.000166265
ENSG00000070182,SPTB,99.2234639,1.313694819,0.29365365,4.473619919,7.69E-06,0.000168303
ENSG00000273398,ENSG00000273398,17.50034765,4.46927764,0.999019357,4.473664708,7.69E-06,0.000168303
ENSG00000146414,SHPRH,464.091912,-0.803620309,0.179665389,-4.472872108,7.72E-06,0.00016871
ENSG00000144369,FAM171B,391.0655418,0.874316192,0.195547599,4.471116988,7.78E-06,0.000169916
ENSG00000058404,CAMK2B,121.2588736,1.886352672,0.421948682,4.470573677,7.80E-06,0.000170165
ENSG00000186188,FFAR4,47.00889305,3.619780023,0.80999369,4.46889904,7.86E-06,0.000171317
ENSG00000132383,RPA1,274.2280766,-1.057672572,0.236771742,-4.467055752,7.93E-06,0.000172613
ENSG00000185551,NR2F2,1310.583372,-0.815141131,0.182600818,-4.464060686,8.04E-06,0.000174857
ENSG00000273899,NOL12,683.9271317,-0.822867588,0.184497504,-4.460047273,8.19E-06,0.000177972
ENSG00000125868,DSTN,647.1520178,-0.816867087,0.183178102,-4.459414515,8.22E-06,0.000178306
ENSG00000149923,PPP4C,416.6434539,-0.83603489,0.187571634,-4.457149894,8.31E-06,0.000180006
ENSG00000164163,ABCE1,851.146091,-0.827209074,0.185641343,-4.455952855,8.35E-06,0.00018082
ENSG00000183114,FAM43B,72.85440276,2.112885583,0.474285169,4.45488436,8.39E-06,0.000181528
ENSG00000113575,PPP2CA,2695.05172,-0.657799614,0.147680394,-4.454210859,8.42E-06,0.000181904
ENSG00000183654,MARCHF11,180.4249903,-1.15739308,0.25999793,-4.451547287,8.53E-06,0.000183979
ENSG00000186660,ZFP91,274.9828648,-1.017128118,0.228529003,-4.450761622,8.56E-06,0.000184456
ENSG00000071054,MAP4K4,3093.67208,-0.710602173,0.159679885,-4.450167123,8.58E-06,0.00018477
ENSG00000130766,SESN2,105.2639173,1.434901738,0.32252848,4.448914825,8.63E-06,0.000185653
ENSG00000131747,TOP2A,2124.70278,-0.779446954,0.175249381,-4.447644544,8.68E-06,0.000186555
ENSG00000278771,RN7SL3,391.5274976,1.248879427,0.280811324,4.447396958,8.69E-06,0.000186572
ENSG00000207241,SNORD45A,963.8762191,1.075746942,0.242188994,4.441766419,8.92E-06,0.000191319
ENSG00000107672,NSMCE4A,317.9006932,-0.884102833,0.199177036,-4.438778944,9.05E-06,0.00019347
ENSG00000110200,ANAPC15,153.4071488,-1.181805019,0.266241887,-4.438839548,9.04E-06,0.00019347
ENSG00000135930,EIF4E2,924.0697694,-0.730837492,0.16465214,-4.438675931,9.05E-06,0.00019347
ENSG00000186056,MATN1-AS1,2481.066705,1.145290202,0.258245384,4.434891288,9.21E-06,0.000196692
ENSG00000232499,ENSG00000232499,472.317285,-0.866349218,0.195508554,-4.431259905,9.37E-06,0.000199823
ENSG00000233026,MTCO1P5,1385.191819,0.694153939,0.156789209,4.42730686,9.54E-06,0.000203305
ENSG00000200494,Y_RNA,39.17468824,2.245373591,0.507195522,4.42703749,9.55E-06,0.000203344
ENSG00000101255,TRIB3,45.6535634,2.108376703,0.47652613,4.424472386,9.67E-06,0.000205558
ENSG00000134871,COL4A2,581.9811569,-0.827851045,0.18714075,-4.423681335,9.70E-06,0.000206096
ENSG00000115464,USP34,2253.483594,-0.679221063,0.153553602,-4.423348279,9.72E-06,0.000206176
ENSG00000166949,SMAD3,168.7804909,1.269485945,0.287016628,4.423039721,9.73E-06,0.000206176
ENSG00000274978,RNU11,207.4527254,0.987450213,0.223257683,4.422917051,9.74E-06,0.000206176
ENSG00000243905,RN7SL679P,42.81958027,2.93682378,0.66409156,4.422317577,9.76E-06,0.000206533
ENSG00000242071,RPL7AP6,1254.583742,-0.761006761,0.17213711,-4.420933755,9.83E-06,0.000207643
ENSG00000142082,SIRT3,65.85038637,1.869548829,0.423054623,4.41916653,9.91E-06,0.000209129
ENSG00000171723,GPHN,389.2012052,-1.030624835,0.233251548,-4.418512307,9.94E-06,0.000209544
ENSG00000285827,ENSG00000285827,286.6622596,-0.884324919,0.200419553,-4.412368475,1.02E-05,0.000215356
ENSG00000169375,SIN3A,811.4278269,-0.748974206,0.169770503,-4.411686316,1.03E-05,0.000215811
ENSG00000230667,SETSIP,307.1539981,-0.934538857,0.211847229,-4.411381088,1.03E-05,0.00021589
ENSG00000206603,SNORA22B,15.48084965,3.663243159,0.83089422,4.408796054,1.04E-05,0.000218256
ENSG00000154118,JPH3,311.8278298,0.891464296,0.202222002,4.408344734,1.04E-05,0.000218484
ENSG00000109771,LRP2BP,1333.782595,1.10962416,0.251746457,4.407705178,1.04E-05,0.00021868
ENSG00000229145,ACTBP1,146.4010644,-1.138616053,0.258324245,-4.40770107,1.04E-05,0.00021868
ENSG00000198952,SMG5,349.9215418,-0.875927029,0.198752665,-4.407120918,1.05E-05,0.000219039
ENSG00000240869,RN7SL128P,153.3234909,1.553253273,0.352547197,4.405802357,1.05E-05,0.000220148
ENSG00000121892,PDS5A,927.4308146,-0.773212939,0.175617319,-4.402828517,1.07E-05,0.000222818
ENSG00000179604,CDC42EP4,128.7952212,1.366482537,0.310370879,4.402740815,1.07E-05,0.000222818
ENSG00000204394,VARS1,777.5638051,-0.729710952,0.165787224,-4.401490871,1.08E-05,0.000223875
ENSG00000104967,NOVA2,2013.029089,0.818571756,0.186043979,4.399883077,1.08E-05,0.000225308
ENSG00000072274,TFRC,701.4378627,0.785842936,0.178694516,4.397689169,1.09E-05,0.000227362
ENSG00000276043,UHRF1,189.6757392,-1.053280506,0.239579688,-4.396368133,1.10E-05,0.000228515
ENSG00000153147,SMARCA5,1932.82727,-0.763770943,0.173751237,-4.395772704,1.10E-05,0.000228907
ENSG00000168172,HOOK3,434.9633117,-0.80297843,0.182934807,-4.389423993,1.14E-05,0.000235451
ENSG00000088832,FKBP1A,712.9838083,-0.793443121,0.180881636,-4.386532202,1.15E-05,0.000238357
ENSG00000073921,PICALM,1660.420295,-0.69002261,0.157354774,-4.385139334,1.16E-05,0.000239642
ENSG00000174720,LARP7,165.2808281,-1.222207589,0.279006008,-4.380578023,1.18E-05,0.000244214
ENSG00000197766,CFD,88.12150948,1.605430775,0.366486385,4.380601412,1.18E-05,0.000244214
ENSG00000226535,ENSG00000226535,544.3293292,-0.743917492,0.169926119,-4.37788785,1.20E-05,0.000246995
ENSG00000198246,SLC29A3,259.2708144,1.119900489,0.256151982,4.372015716,1.23E-05,0.000253475
ENSG00000213131,YWHAZP4,305.5915783,-0.966189053,0.221105678,-4.369806603,1.24E-05,0.000255792
ENSG00000119508,NR4A3,126.2183168,-1.332644009,0.305483687,-4.362406456,1.29E-05,0.000264333
ENSG00000122545,SEPTIN7,1351.279072,-0.789639725,0.181045461,-4.361554935,1.29E-05,0.000265094
ENSG00000236289,GACAT3,56.00401776,1.657532121,0.38015624,4.360133925,1.30E-05,0.000266551
ENSG00000143179,UCK2,614.9210067,-0.833487301,0.191177191,-4.359763299,1.30E-05,0.000266732
ENSG00000103275,UBE2I,696.512325,-0.885276721,0.203127935,-4.358222431,1.31E-05,0.000268344
ENSG00000226015,CCT8P1,357.9859035,-0.859747655,0.19752007,-4.352710362,1.34E-05,0.000274904
ENSG00000199290,Y_RNA,145.4427597,1.344337646,0.30887004,4.352437825,1.35E-05,0.000274968
ENSG00000151650,VENTX,817.9947843,0.988134593,0.227056304,4.351936389,1.35E-05,0.000275319
ENSG00000140575,IQGAP1,1402.468242,-0.73977719,0.170028858,-4.350891957,1.36E-05,0.000276355
ENSG00000113140,SPARC,318.1205507,-1.051030676,0.241627095,-4.349804712,1.36E-05,0.000277449
ENSG00000215612,HMX1,303.6001184,0.994644241,0.228692192,4.349270662,1.37E-05,0.000277845
ENSG00000105988,NHP2P1,249.5881679,-0.921651335,0.212017976,-4.34704337,1.38E-05,0.000280398
ENSG00000133706,LARS1,440.6412887,0.867955394,0.199846553,4.343109156,1.40E-05,0.000285182
ENSG00000249565,SERBP1P5,422.3213091,-0.817273683,0.188319963,-4.339814377,1.43E-05,0.000289201
ENSG00000233276,GPX1,76.35823219,-1.651897079,0.380704028,-4.339058578,1.43E-05,0.000289906
ENSG00000102898,NUTF2,1078.05374,-0.84567935,0.195050566,-4.335692881,1.45E-05,0.000294083
ENSG00000158417,EIF5B,1190.104309,-0.799827966,0.184571235,-4.333437798,1.47E-05,0.000296816
ENSG00000165629,ATP5F1C,680.699277,-0.809498605,0.186812521,-4.333213858,1.47E-05,0.000296821
ENSG00000118496,FBXO30,174.1183918,-1.03625984,0.239353973,-4.329403134,1.50E-05,0.000301702
ENSG00000130713,EXOSC2,270.4875576,-0.977258979,0.225757321,-4.328803047,1.50E-05,0.000302223
ENSG00000234491,HNRNPA1P51,478.4718123,-0.908172765,0.209915032,-4.326382709,1.52E-05,0.000305257
ENSG00000142634,EFHD2,281.9380398,-0.978506334,0.226193552,-4.325969183,1.52E-05,0.000305525
ENSG00000256269,HMBS,130.3380103,-1.091369673,0.252364868,-4.324570538,1.53E-05,0.000307164
ENSG00000236090,LDHAP3,176.7219365,-1.076606516,0.248975911,-4.324139283,1.53E-05,0.00030746
ENSG00000254002,ENSG00000254002,103.4383188,2.605973047,0.602822186,4.322954775,1.54E-05,0.000308809
ENSG00000131504,DIAPH1,173.9565264,-1.079605294,0.249956467,-4.319173289,1.57E-05,0.000313524
ENSG00000198843,SELENOT,635.3111634,-0.944051387,0.21856269,-4.319362041,1.56E-05,0.000313524
ENSG00000252657,SNORA70,43.91783442,2.354741699,0.545331707,4.317998883,1.57E-05,0.000314573
ENSG00000261111,ENSG00000261111,16.15168929,4.201742091,0.97304372,4.318143165,1.57E-05,0.000314573
ENSG00000108091,CCDC6,420.5538881,-0.785335474,0.181943277,-4.31637533,1.59E-05,0.000316582
ENSG00000170144,HNRNPA3,6241.082368,-0.764877439,0.177311614,-4.313746968,1.61E-05,0.000320055
ENSG00000223878,PPIAP53,50.43437135,-1.714580958,0.397942409,-4.308615823,1.64E-05,0.000327247
ENSG00000100347,SAMM50,221.1171333,-0.959284383,0.222878855,-4.304061871,1.68E-05,0.000333392
ENSG00000275154,U3,14.41426678,4.091124548,0.950516053,4.304108841,1.68E-05,0.000333392
ENSG00000149311,ATM,260.4154633,-0.845600775,0.196508962,-4.303115578,1.68E-05,0.000334491
ENSG00000204463,BAG6,1321.137217,-0.78296964,0.182012553,-4.301734295,1.69E-05,0.000335923
ENSG00000277452,RN7SL473P,39.77805483,2.6196221,0.608945887,4.301896368,1.69E-05,0.000335923
ENSG00000115507,OTX1,146.5357577,2.14720241,0.4993454,4.300034428,1.71E-05,0.000338178
ENSG00000173418,NAA20,1681.78044,0.681587626,0.158521914,4.299642915,1.71E-05,0.000338444
ENSG00000196865,NHLRC2,229.0619326,-0.902949379,0.21002381,-4.299271487,1.71E-05,0.00033868
ENSG00000157514,TSC22D3,228.0083742,1.155825229,0.268943091,4.297657266,1.73E-05,0.000340822
ENSG00000276380,UBE2NL,116.4627517,-1.195723768,0.278293258,-4.296632176,1.73E-05,0.000342066
ENSG00000171566,PLRG1,148.7023382,-1.060373145,0.246918387,-4.294427632,1.75E-05,0.000345146
ENSG00000223489,NEFHP1,254.1595344,-0.961307607,0.223872782,-4.293990537,1.75E-05,0.000345489
ENSG00000249065,PCNAP1,102.9441962,-1.405961212,0.327489713,-4.293146187,1.76E-05,0.000346469
ENSG00000108506,INTS2,1184.543504,0.694360007,0.161786962,4.291816846,1.77E-05,0.000348112
ENSG00000217624,YWHAZP10,122.3123084,-1.137983786,0.265161418,-4.291664279,1.77E-05,0.000348112
ENSG00000106459,NRF1,199.2693528,-1.039704357,0.242340946,-4.290254597,1.78E-05,0.000349989
ENSG00000107581,EIF3A,2384.364771,-0.741932204,0.173044396,-4.287525177,1.81E-05,0.000353972
ENSG00000173402,DAG1,654.106735,-0.760436321,0.177388251,-4.286847165,1.81E-05,0.000354709
ENSG00000131791,PRKAB2,84.93482999,-1.393223712,0.325043142,-4.286273209,1.82E-05,0.000355282
ENSG00000220988,SNORD88C,37.53652981,2.355071927,0.549620641,4.284904445,1.83E-05,0.000357131
ENSG00000156787,TBC1D31,195.3324464,0.988905061,0.230956912,4.281772965,1.85E-05,0.000361845
ENSG00000009413,REV3L,599.4780074,-0.7063067,0.165035965,-4.279713826,1.87E-05,0.000364857
ENSG00000011426,ANLN,384.5708347,-0.82419037,0.192645119,-4.27828317,1.88E-05,0.000366855
ENSG00000007168,PAFAH1B1,1431.274684,-0.705896349,0.165012299,-4.277840822,1.89E-05,0.00036723
ENSG00000018280,SLC11A1,48.19003859,1.883133189,0.440476521,4.275218088,1.91E-05,0.000370261
ENSG00000130396,AFDN,1542.369153,-0.682703301,0.159694779,-4.275050846,1.91E-05,0.000370261
ENSG00000130826,DKC1,272.6946734,-0.859095142,0.200945531,-4.275263736,1.91E-05,0.000370261
ENSG00000139726,DENR,264.7400575,-0.911632236,0.213241877,-4.275108858,1.91E-05,0.000370261
ENSG00000163399,ATP1A1,4995.120349,-0.630804929,0.147558779,-4.274940021,1.91E-05,0.000370261
ENSG00000275803,RN7SL736P,27.94111929,3.01245216,0.705184673,4.271862784,1.94E-05,0.000375049
ENSG00000139637,MYG1,273.7221205,-1.044934858,0.244918253,-4.266463797,1.99E-05,0.000383869
ENSG00000200741,RNA5SP161,63.40793177,1.84058199,0.43144252,4.266111721,1.99E-05,0.000384108
ENSG00000141030,COPS3,482.7098259,-0.786893506,0.184484641,-4.265360529,2.00E-05,0.000384727
ENSG00000153922,CHD1,773.2727002,-0.776518895,0.182053839,-4.265325565,2.00E-05,0.000384727
ENSG00000139675,HNRNPA1L2,259.8875459,-0.94430312,0.221458132,-4.264025491,2.01E-05,0.000386605
ENSG00000128590,DNAJB9,229.3642561,0.969168276,0.227352093,4.262851796,2.02E-05,0.000387687
ENSG00000134324,LPIN1,84.25719923,1.305787393,0.306324176,4.26276309,2.02E-05,0.000387687
ENSG00000146278,PNRC1,158.7772246,1.035910661,0.243009329,4.262843187,2.02E-05,0.000387687
ENSG00000124789,NUP153,601.3254936,-0.909343439,0.21333733,-4.262467512,2.02E-05,0.000387832
ENSG00000199839,RNA5SP150,41.16111393,2.582171428,0.605931157,4.261493073,2.03E-05,0.000389158
ENSG00000005889,ZFX,351.8345986,-0.774033319,0.181836777,-4.256747909,2.07E-05,0.00039713
ENSG00000160551,TAOK1,1401.090707,-0.643396028,0.151173728,-4.256004249,2.08E-05,0.000398075
ENSG00000284618,ENSG00000284618,368.7627656,-0.827163514,0.194483415,-4.253131381,2.11E-05,0.000402837
ENSG00000164754,RAD21,2274.386873,-0.715676748,0.168314557,-4.252019318,2.12E-05,0.00040446
ENSG00000138071,ACTR2,788.122943,-0.697038361,0.164020648,-4.249698872,2.14E-05,0.000408287
ENSG00000165462,PHOX2A,313.6034339,-0.885725841,0.20853379,-4.247397231,2.16E-05,0.000412114
ENSG00000143603,KCNN3,110.5076276,-1.214235751,0.285894229,-4.247150272,2.17E-05,0.000412179
ENSG00000163041,H3-3A,2932.23135,-0.724667404,0.170643819,-4.246666582,2.17E-05,0.000412681
ENSG00000143819,EPHX1,153.1923897,1.104531249,0.260124524,4.246163464,2.17E-05,0.000413219
ENSG00000133816,MICAL2,315.0515341,0.983738541,0.231762235,4.244602415,2.19E-05,0.000415715
ENSG00000163466,ARPC2,1751.440519,-0.811115927,0.191109308,-4.24425129,2.19E-05,0.000415975
ENSG00000188981,MSANTD1,974.2910554,0.765188664,0.180303148,4.243900737,2.20E-05,0.000416235
ENSG00000122483,CCDC18,62.01051926,1.690800509,0.398471622,4.243214366,2.20E-05,0.000417119
ENSG00000270619,ENSG00000270619,172.9604251,1.964729339,0.463520176,4.238713744,2.25E-05,0.00042517
ENSG00000196208,GREB1,102.9481837,1.31409637,0.310251465,4.23558474,2.28E-05,0.000430731
ENSG00000156299,TIAM1,432.6548074,-0.758302666,0.179392203,-4.227065908,2.37E-05,0.000446942
ENSG00000214110,LDHAP4,76.72098956,-1.455352451,0.344353764,-4.226329442,2.38E-05,0.000447988
ENSG00000164576,SAP30L,533.6131145,-0.78185664,0.185036721,-4.225413394,2.39E-05,0.000449395
ENSG00000167770,OTUB1,791.0820073,-0.691338332,0.163630024,-4.22500904,2.39E-05,0.000449783
ENSG00000113441,LNPEP,458.8807233,-0.770657948,0.182548202,-4.221668248,2.43E-05,0.000456078
ENSG00000088387,DOCK9,819.2084708,0.956755853,0.226664622,4.221019774,2.43E-05,0.000456899
ENSG00000290976,ENSG00000290976,111.1709712,1.649058246,0.39069401,4.220843427,2.43E-05,0.000456899
ENSG00000167178,ISLR2,225.0568529,-1.091300255,0.258608455,-4.219893943,2.44E-05,0.000458402
ENSG00000274309,SNORA71E,45.09228209,1.868291665,0.442812575,4.219147715,2.45E-05,0.000459495
ENSG00000154447,SH3RF1,201.9358786,-0.989294766,0.234670287,-4.215679698,2.49E-05,0.000466181
ENSG00000205323,SARNP,344.3887463,-0.889446669,0.211106855,-4.213253365,2.52E-05,0.000470783
ENSG00000126457,PRMT1,971.0396941,-0.777318332,0.184751313,-4.207376508,2.58E-05,0.000482662
ENSG00000216285,ENSG00000216285,177.9829664,-0.971776095,0.230978971,-4.207205925,2.59E-05,0.000482662
ENSG00000111605,CPSF6,890.1174088,-0.740098583,0.175961593,-4.206023427,2.60E-05,0.000484745
ENSG00000143294,PRCC,334.1903868,-0.851339237,0.202445488,-4.205276423,2.61E-05,0.0004859
ENSG00000108344,PSMD3,425.4821801,-0.780999901,0.185797261,-4.203506006,2.63E-05,0.000489267
ENSG00000143842,SOX13,102.7649379,2.463597182,0.586144824,4.203052015,2.63E-05,0.000489798
ENSG00000188460,ACTBP11,536.8490386,-0.850323288,0.202353077,-4.202176225,2.64E-05,0.000491245
ENSG00000259137,ENSG00000259137,295.9707384,-0.929519364,0.221240972,-4.201388908,2.65E-05,0.000492056
ENSG00000276900,ENSG00000276900,388.6969143,-6.855293316,1.631673918,-4.201386833,2.65E-05,0.000492056
ENSG00000132466,ANKRD17,1823.812554,-0.659022394,0.156881764,-4.200758428,2.66E-05,0.000492856
ENSG00000274091,SNORD1C,221.6811265,1.326336039,0.315748903,4.200603793,2.66E-05,0.000492856
ENSG00000157107,FCHO2,284.663941,-0.894047778,0.212924169,-4.198902275,2.68E-05,0.000496119
ENSG00000166411,IDH3A,608.0700044,-0.843096422,0.200976072,-4.195008959,2.73E-05,0.000504256
ENSG00000230383,RPL6P19,1861.834733,-0.756609849,0.180412696,-4.193772751,2.74E-05,0.00050655
ENSG00000075568,TMEM131,701.3911881,-0.754236646,0.179901346,-4.192501399,2.76E-05,0.000508932
ENSG00000136603,SKIL,447.6438892,-0.815759795,0.194708432,-4.189648008,2.79E-05,0.000514904
ENSG00000054118,THRAP3,906.8514452,-0.740760831,0.176820736,-4.189332355,2.80E-05,0.000515151
ENSG00000223864,NPM1P19,248.8881601,-0.92538277,0.220984274,-4.187550329,2.82E-05,0.000518738
ENSG00000206557,TRIM71,203.17306,-1.099563675,0.262697294,-4.185668063,2.84E-05,0.00052258
ENSG00000076826,CAMSAP3,113.5687454,1.174532687,0.280732473,4.183814844,2.87E-05,0.000526382
ENSG00000128512,DOCK4,807.8613406,-0.697126517,0.166853064,-4.178086385,2.94E-05,0.000539322
ENSG00000107929,LARP4B,1057.099525,-0.690852721,0.165370783,-4.177598419,2.95E-05,0.00053999
ENSG00000080824,HSP90AA1,4662.172371,-0.688565668,0.164839991,-4.17717608,2.95E-05,0.000540503
ENSG00000164125,GASK1B,27.7233805,2.345998784,0.561726976,4.176403989,2.96E-05,0.000541849
ENSG00000185129,PURA,642.2983335,-0.751506856,0.179970875,-4.175713749,2.97E-05,0.000543002
ENSG00000088038,CNOT3,663.9490612,-0.679132062,0.16274059,-4.173095736,3.00E-05,0.000548786
ENSG00000244264,RN7SL597P,119.4825039,1.403916103,0.336453288,4.172692471,3.01E-05,0.000549262
ENSG00000144028,SNRNP200,1610.862861,-0.653688695,0.156775596,-4.169581955,3.05E-05,0.000556309
ENSG00000072182,ASIC4,75.6002982,1.360493018,0.326420516,4.167915163,3.07E-05,0.000559886
ENSG00000204256,BRD2,1787.690433,-0.709102198,0.170167866,-4.167074643,3.09E-05,0.000561448
ENSG00000166333,ILK,419.2995155,-0.846749838,0.203268901,-4.165663479,3.10E-05,0.000563949
