gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
gene1,18,12,32,8,12,14
gene2,0,0,0,3,8,1
gene3,15,9,6,13,5,16
gene4,216,289,198,126,118,137
gene5,129,171,140,136,133,148
gene6,47.675,58.076,42.676,52.242,95.555,49.967
gene7,0,5,8,6,6,14
gene8,5,11,3,2,10.994,5
