gene_id,gene_name,.Exp.12H.1,.Exp.12H.2,.Exp.12H.3,.Exp.24H.4,.Exp.24H.5,.Exp.24H.6
GENE_224,St3gal1,2,2,3,2,1,3
GENE_225,Trp53,28,25,8,13,24,13
GENE_226,Rab26os,280.636,302.264,289.824,214.673,257.274,299.72
GENE_227,C030006K11Rik,50,34,50,13,19,37
GENE_228,Abca2,5,2,3,11,5,0
GENE_229,Stmp1,175.204,213.01,147.356,132.754,145.626,153.751
GENE_230,Nxf2,6,12,19,8,9,4
GENE_231,Fhit,3,1,0,4,2,1
GENE_232,Msh5,185,255.986,167,163,358,205
GENE_233,Nuggc,0,9,9,15,7,9
GENE_234,Gm31522,12,13,12,25,27,17
GENE_235,Ccdc184,296.155,408.158,293.464,291.902,262.754,337.434
GENE_236,Fgl2,43,19,36,27,28,13
GENE_237,A430046D13Rik,0,12,2,10,6,5
GENE_238,Slc39a8,8,8,11,14,34,14
GENE_239,Mtx3,12,7,5,6,16,11
GENE_240,Ppia,5,10,8,14,20,14
GENE_241,Gmip,5,9,3,20,9,10
GENE_242,Iglon5,6,6,6,3,1,2
GENE_243,Gm8801,17,8,6,4,4,6
GENE_244,Snord73a,12,11.955,29,18,20,26
GENE_245,Lhx1os,0,2,1,0,7,3
GENE_246,Peg10,290.001,349.001,388,348,360.001,382.999
GENE_247,Scube1,24,57,26,50,34,49
GENE_248,Car6,7,5,9,3,8,9
GENE_249,Tcf7l1,1367.961,1555.763,1422.909,1053.938,1216.869,1255.519
GENE_250,Zfp33b,0,0,0,11,0,3
GENE_251,B630019K06Rik,7,6.065,2,3,10,0
GENE_252,Gm6579,153,195,144,141,113,118
GENE_253,Ifi30,27,14,30,2,4,3
GENE_254,Stk16,21,19,26,13,15,7
GENE_255,Gm26465,4,0,2,2,3,1
GENE_256,Gm49436,17,9,4,7,8,2
GENE_257,Bco1,10.044,6.001,8,2,11,7.546
GENE_258,Kif11,2,4.002,2,2.005,1,1.001
GENE_259,Synj1,0,1,2,0,5,3
GENE_260,Dhx32,0,4,1,4,4,2
GENE_261,Gm5934,8,4,14,9,11,5
GENE_262,Arhgap22,3,0,4,1,2,1
GENE_263,Tnks1bp1,4,1,0,3,4,2
GENE_264,Snx19,0,10,4,1,4,1
GENE_265,Ldlrad3,3,0,6,0,3,5
GENE_266,Txlna,10,19,6,5,8,6
GENE_267,Snora52,1,4,5,2,4,3
GENE_268,Rps18,8,6,0,4,16,6
GENE_269,Gm8493,0,0,0,8,7,5
GENE_270,Pelp1,1,5,5,1,3,8
GENE_271,Gm26287,9,15,17,5,20,11
GENE_272,B330016D10Rik,5,1,3,4,4.331,11
GENE_273,Rbmx,52,61,40,46,65,74
GENE_274,Gm33198,8,10,13,6,11,12
GENE_275,Cstb,8,15,16,22,16,12
GENE_276,Zfp808,5,4,3,3,3,5
GENE_277,Swsap1,423,530,396,286,381,346
GENE_278,Gpr45,2,2,2,4,9,3
GENE_279,Lin37,2.932,2.001,2,3.871,1.001,8
GENE_280,Dnttip1,6,2,5,11,7,10
GENE_281,Pcdha3,9,19,3,17.981,22,22
GENE_282,Zmpste24,62,117,101,39,43,40
GENE_283,Rabep2,42,95.103,40.607,53.018,79.026,49.446
GENE_284,Zdhhc16,9,14,10,5,15,7
GENE_285,Bag5,215,204.768,238,326,374.001,352
GENE_286,Ppfibp1,6,12,9,3,4,10.065
GENE_287,Rfx2,6,9,4,2,3,2
GENE_288,Igsf5,28,24,18,14,24,18
GENE_289,Tcf4,1.048,3,4,1,2,1
GENE_290,Dpm3,0,4,0,5,7,7
GENE_291,Dcps,5,4,1,2,3,7.007
GENE_292,Armh3,1,0,0,0,0,14
GENE_293,Sec63,12,0,26,7,13,6
GENE_294,Gm51864,17,9,6,9,8,10
GENE_295,Herpud1,1,2.78,0,1,3,3
GENE_296,Nrbf2,36.132,76.132,79.364,42.04,62.685,39.681
GENE_297,Slc30a4,8,3,5,0,0,3
GENE_298,Rabl6,66,93,76,155,152,213
GENE_299,Gm39888,9,4,7,0,3,2
GENE_300,5031434O11Rik,0,1,1,4,6,2
GENE_301,Gm24916,4,3,1,2,2,0
GENE_302,Ints6,2,2,0,2,8,4
GENE_303,B230219D22Rik,9,2,4,7,2,2
GENE_304,Pcsk2,0,1,6,0,3,1
GENE_305,Secisbp2l,1,14,4,1,0,1
GENE_306,A430105J06Rik,3,5,2,2,13,7
GENE_307,C530005A16Rik,5,4,7,3,8,2
GENE_308,Fads6,6,6,4,2,4,6
GENE_309,Snrpf,4,13,8,15,23,26
GENE_310,Acsl3,34,46,51,18,20,26
GENE_311,Trdmt1,2,21,21,10,9,10
GENE_312,Gm7609,11,13,6,24,21,34
GENE_313,Fzd2,0,0,0,5,2,4
GENE_314,Gm40799,8.408,2.203,6,4.088,6.87,3.985
GENE_315,Kctd6,30.766,49.276,30.666,22.207,24.942,39.59
GENE_316,Ankrd6,24,36,11,17.972,16,23
GENE_317,Pbrm1,2,3,0,6,3,3
GENE_318,Ankrd61,179,235,162,115,133,126
GENE_319,Armc8,1,2,0,0,3,5
GENE_320,Aebp1,3,9,10,10,2,4
GENE_321,Tmem94,26,21,29,34,20,15
GENE_322,Gm36877,34,90.729,44.756,47,80.302,57.186
GENE_323,Zfp930,0,5,1,5,12,17
GENE_324,Gm53401,129,166,136,155,148,174
GENE_325,Ltb,48,27,32,16,35,20
GENE_326,Gm11754,0,0,1,4,5,9.019
GENE_327,Col14a1,140,115,85,68,92,88
GENE_328,LOC118568718,0,0,4,2,3,2
GENE_329,Syne3,8,14,10,3,9.002,5
GENE_330,Washc1,5,13,9,13,9,10
GENE_331,Tusc2,526,512,530,384,351,375
GENE_332,Hdhd2,4,9,7,4,6,8
GENE_333,Rnf111,16,11,12,10,4,18
GENE_334,Tmem135,11.017,3.042,5.006,2,6.011,9.017
GENE_335,Crtc2,19.944,19.015,27.047,17.958,44.989,19.045
GENE_336,Elovl5,4,4,2,1,3,2
GENE_337,Gm5475,1,6,2,0,5,4
GENE_338,Strbp,15,2,5,13,11,26
GENE_339,Filip1,85,75,53,72,79,74
GENE_340,Phkg2,22,31,22,16,9,17
GENE_341,Ppara,15,21.622,22,42,30,59
GENE_342,Gm30941,2,0,11,0,0,2
GENE_343,Gm36589,18,5,19,10,3,0
GENE_344,Ddx23,10,28,11,8,33.069,14
GENE_345,Top1mt,0,8,0,0,7,12
GENE_346,Bcorl1,117,197.999,195,142.999,154,154.001
GENE_347,Rbm3-ps,7,2,0,3,2,1
GENE_348,Exosc5,16,19,4,26,14,13
GENE_349,Fam162a,73,89,122,144,110,94
GENE_350,Washc3,12,10,26,5,11,8
GENE_351,Erich1,4,8,12,1,1,16
GENE_352,Deptor,3,5,12,1,9,1
GENE_353,Avpi1,480.968,514.956,491.836,367.056,422.777,399.103
GENE_354,Kdm5b,4,4,4,11,4,9
GENE_355,Gm39669,4,8,1,12,34.925,23
GENE_356,Arl1,9,16.982,19.917,12.949,8,8
GENE_357,Gm38959,73,75,40,72,57,54
GENE_358,Smim19,5,3,1,1,2,5
GENE_359,Tfg,1,10,6,17,12,7
GENE_360,Tbc1d4,2122,2500,2079,1874,1967,2022
GENE_361,Ptpa,14,14.926,11,12,10.56,6.719
GENE_362,Gm26079,4,5,15.988,4,10.998,10
GENE_363,Sema7a,18,12,3,22,19,14
GENE_364,Dhrs7,3,5,0,1,2,4
GENE_365,Sirt2,47,25,30,36,40,51
GENE_366,Pcdhb7,8,12,6,16,28,18
GENE_367,Gm12289,7,9,0,1,16,10
GENE_368,Msi2,3,1,2,3,2,6
GENE_369,Epha8,14,19,7,8,8,9
GENE_370,Poldip2,12,8,4,2,18,7
GENE_371,Rpl37a,67,68,53,90,60,118
GENE_372,Gm33747,4,10,2,3,4,10
GENE_373,Rraga,4,4,0,1,1,5
GENE_374,Csnk2a1-ps3,26,30,7,31,23,29
GENE_375,Pak3,26.234,44.965,56.231,206.567,260.352,215.934
GENE_376,Snx11,72,108,81,66,98,112
GENE_377,Gm35611,21,17,4,33,34.323,16
GENE_378,Caly,2,6,3,0,0,3
GENE_379,Pank3,208,286,175,181,209,238
GENE_380,1600012H06Rik,5,0,9,2,2,0
GENE_381,Atp5mc3,1,1,0,1,4,4
GENE_382,Ppp2r2a,776.137,854.93,970.366,500.253,496.335,528.937
GENE_383,Gria2,6.069,11.883,17.998,15,24.067,21.359
GENE_384,Gm53982,7,13,5,18,20,19
GENE_385,Gm40443,2,7,21,7.018,9,8
GENE_386,0610040B10Rik,0,0,6,0,2,6
GENE_387,F2rl1,13,28,19,27,32,23
GENE_388,1700088E04Rik,5,7,5,7,3,1
GENE_389,Gm7972,4,8,0,5,9,8
GENE_390,Dock5,718.001,781,756,548,687.999,695
GENE_391,Zfp11,6,0,4,0,2,3
GENE_392,Pla2g5,54,78,69,71,78,85
GENE_393,Dnah17,68,66,78.924,46,64,88
GENE_394,Stab1,10,8,22,8,29,23
GENE_395,Prickle2,15,10,2,7,10,6
GENE_396,Lca5,2,1,2,2,6,1
GENE_397,Lix1l,27,26,32,15,21,23
GENE_398,Prkab2,5,6,2,1,2,1
GENE_399,Cnot2,471,620.001,439,359,423,407.092
GENE_400,Tet1,6,15,6,6,8.003,10
GENE_401,Cdc27,2,10,0,8,4,10
GENE_402,Zfp128,5,16,7,2,9,16
GENE_403,Swi5,1,0,7,1,3,0
GENE_404,Mcfd2,69.474,47.376,37.304,362.567,448.867,417.383
GENE_405,Rab11fip4,5,21,13,12,19,14
GENE_406,Ppp1r7,0,0,1,2,12,9
GENE_407,Rnf217,4045.06,5021.044,3877.615,4409.57,5442.458,5513.488
GENE_408,Katnb1,29,33,23,55,42,64
GENE_409,Zfp428,2,7,5,1,1,3
GENE_410,n-TAtgc1,168.999,222.656,141.509,99.685,144.688,182.857
GENE_411,Ocln,29,51,22,52,48.001,40
GENE_412,Zfp2,28,13,15,3,10,8
GENE_413,Rps5,5,4,2,4,3,2
GENE_414,Stx11,35.289,11.943,20,19,21,19.478
GENE_415,Zfp317,23,27,6,11,11,13
GENE_416,Zbtb42,1,3,4,1,2,1
GENE_417,Rhox2d,35,52,54,52,72,59
GENE_418,Lmbr1l,25,23,30,2,8,6
GENE_419,Gtf2e2,1,0,5,5,2,1
GENE_420,Stradb,85,82,70,54,56.8,49
GENE_421,Srp72,1,16,3,3,1,1
GENE_422,Dimt1,21.091,41.251,19.108,57.4,104.702,69.483
GENE_423,Zfp786,33.172,0,25.495,31.1,0,19.953
GENE_424,Nell2,603,742,594,451,537,556
GENE_425,Rapgef5,3,0,2,3,2,5
GENE_426,Ccnh,0,2,2,3.991,5,2
GENE_427,Gatd3a,11,7,17,11,8,14
GENE_428,1700072F12Rik,3,5.23,0,0,1.206,1.03
GENE_429,Nr4a3,34,41,28,17,31,33
GENE_430,Ctsl,14,11,11,31,24,25
GENE_431,Prss23,9,9,0,6,7,12
GENE_432,Ift74,44,43,38,33,28,35
GENE_433,Gm6521,3,1,0,2,8,1
GENE_434,Zfp990,54,62,46,60,74,65
GENE_435,Scarf2,30,32,29,10,5,6
GENE_436,Brms1,887.351,1148.801,912.251,512.809,613.959,592.686
GENE_437,Anxa11,11,13,6,12,27.973,15
GENE_438,Gdpd5,17,12,8,29,21,28
GENE_439,Dlgap2,97,113,77,159,208,200
GENE_440,Usp20,34,26,51,81,84,87
GENE_441,Pcx,1,2,6,6,0,2
GENE_442,Cope,30,29,30,26,41,41
GENE_443,Gm24523,3,8,1,0,4,2
GENE_444,Gm36033,2,2,4.996,2,4,6.998
GENE_445,Ntaq1,5,6,4,4,10,8
GENE_446,Cyb5r2,32,16,21,24,29,24
GENE_447,Oxsm,2,3,11,13,7,10
GENE_448,Ptp4a1,3,9,2,3,10,10
GENE_449,Zfp637,0,7,5,2,8,8
GENE_450,Exoc6,0,5,4,6,5,2
GENE_451,Vmn1r132,4,3,2,0,1,1
GENE_452,Stim1,24,24,11,19,11,15
GENE_453,Ndufv3,1,1,7,0,8,9
GENE_454,Alg12,157,157,151,83,126,70
GENE_455,Pum2,1335,1662,1359,1062,1096,1151
GENE_456,Alad,2,0,3,0,4,4
GENE_457,Usf1,14,15,25,18,15,18
GENE_458,Adcy9,9,0,4,8,7,4
GENE_459,Rmnd5b,0,0,0,22,20,13
GENE_460,Gdnf,9,20,28,17,24,26
GENE_461,Smg7,142,173,147,118,176.326,171
GENE_462,Spmip10,5,6,3,3,3,7
GENE_463,Baz1b,151,147.887,148,220,213,206
GENE_464,Tnk2,3,20,4,15,11,8
GENE_465,Smad7,2,2,4,4,3,1
GENE_466,Gm35463,13,21,23,159,170,221.994
GENE_467,Herc3,72,89.974,98.644,57,71.263,102
GENE_468,Alas1,7,8,10,9,2,10
GENE_469,Gm31323,3,0,0,3,4,2
GENE_470,Pvr,12,28,28,46,74,65
GENE_471,Safb2,0,10,4,0,11,13
GENE_472,Slc12a9,19,5,4,15,22,14
GENE_473,Rfx5,11,16,5,7,5,5
GENE_474,Gm8350,22,13,13,23,20,22
GENE_475,Casp2,4,4,0,2,2,0
GENE_476,Gm24414,5,8.041,4.999,2,3,9.002
GENE_477,Gm25776,3,0,0,9,3,4
GENE_478,Gm13816,28,11,7,25,47,46
GENE_479,Zfp513,3,6,2,7,7,7
GENE_480,Mtx2,0,3,0,14,8,14
GENE_481,Pex14,70,73,70,118,106,157
GENE_482,Trib1,15,18,37,19,17,6
GENE_483,Asic4,12,14,7,59,63,47
GENE_484,Hnrnpk,6,2,0,10,4,1
GENE_485,Gm33610,7,0,0,0,0,4
GENE_486,Gm53370,12,12,25,23,27,21
GENE_487,Gstp1,390,395,319,174,205,283
GENE_488,Fam114a2,370.968,411.882,405,174.982,217.606,224.088
GENE_489,Gm26328,6,0,8,5,4,3
GENE_490,Ppp1r21,8,8,21,14,18,25
GENE_491,Agap2,17,9,9,6,6,9.015
GENE_492,Tnnt2,1,19,11,14,5,10
GENE_493,Tex2,4,5,3,2,0,0
GENE_494,Garre1,0,0,0,5,3,10
GENE_495,Gm48089,302,375,247,293,345.001,351
GENE_496,Atxn2,11,4,0,2,0,1
GENE_497,Surf1,6,4,3,4,4,4
GENE_498,Shisa8,0,2,17,5,6,18
GENE_499,n-TGgcc12,24,33,65,22.997,30,24
GENE_500,Prr11,209,199,212,139,201,139
GENE_501,Immp2l,3,8,0,2,7,3
GENE_502,Trim21,10,35,19,24,30,19
GENE_503,Hps3,12,15,12,3,12,7
GENE_504,Gm33851,32,19,26,17,19,20
GENE_505,Cap1,21,26,25,44,45.047,77
GENE_506,Gm31255,653.35,608.944,605.2,611.634,583.596,631.511
GENE_507,Recql4,6.984,16,8,2.315,3,3.027
GENE_508,Slc8b1,4,7,12,6,3,1
GENE_509,Atp1a3,7,9,10,10,6,11
GENE_510,Fastkd5,16.742,14.028,9.752,16.002,20.592,16.017
GENE_511,Ipo13,3,9,21,12,6,2
GENE_512,Nt5m,4,3,0,2,2,2
GENE_513,D430001F17Rik,8,11.292,9,10,20,11
GENE_514,Topors,8,0,11,0,2,3
GENE_515,Rpgrip1l,11,6,8,6,11,11
GENE_516,A430108G06Rik,9,2,3,0,2,7
GENE_517,Gm57595,6,9,5,12,14,23
GENE_518,Mid1ip1,28,41,33,15,39,36
GENE_519,Nim1k,1,5,0,1,2,4
GENE_520,Gm16638,5,7,0,4,6,3
GENE_521,Gm30466,0,4,0,2,8,2
GENE_522,Gm25296,4,22,4,32,24,33
GENE_523,Cdkn2a,57,50,46,32,28,34
GENE_524,Snord2,0,3,0,3,3,6
GENE_525,Med22,72,148,96,39,63,63
GENE_526,Pcsk1n,10,12,5,32,22,22
GENE_527,Lkaaear1,3,4,15,16,19,20
GENE_528,Ptcd2,30,23,14,34,25.059,27
GENE_529,Gm47252,0,2,0,3,3,4
GENE_530,Glud1,36,31,31,24,35,26
GENE_531,Tbl1xr1,31.386,43.869,31.372,34.071,26.111,35.125
GENE_532,St6galnac3,4,1,0,5,7,12
GENE_533,Gm30401,4,7,2,5,3.088,6
GENE_534,Wdr44,0,7,11,12,6,6
GENE_535,Rps6,17,22,30,18,7,12
GENE_536,Ssna1,3,3,3,2,3,0
