"","gene"
"169","FUN_011252_SPON1_4"
"170","FUN_026722_RYR2_1"
"171","FUN_048061_RAB20_2"
"172","FUN_005199_icl-1"
"173","FUN_039918_GUCY2D_1"
"174","FUN_046269_SYPL2"
"175","FUN_046565_TNFRSF14_1"
"176","FUN_033676_GRAMD2_2"
"177","FUN_019431_GJB1"
"178","FUN_046335_TOR1AIP2_2"
"179","FUN_003463_PRKAR2A_1"
"180","FUN_000589_hypothetical_protein"
"181","FUN_039151_st6gal1"
"182","FUN_031427_HSPA4L"
"183","FUN_017728_CITED1"
"184","FUN_015599_STX12_1"
"185","FUN_037033_hypothetical_protein"
"186","FUN_022970_DIRAS1"
"187","FUN_005287_SSRP1_1"
"188","FUN_003847_PRICKLE2_1"
"189","FUN_028798_hypothetical_protein"
"190","FUN_011358_hypothetical_protein"
"191","FUN_029968_hypothetical_protein"
"192","FUN_050211_CLIP2_3"
"193","FUN_044256_ABHD10_1"
"194","FUN_052694_hypothetical_protein"
"195","FUN_020596_EIF4H"
"196","FUN_031247_hypothetical_protein"
"197","FUN_054612_hypothetical_protein"
"198","FUN_000884_ADCY5_4"
"199","FUN_039322_RB1_2"
"200","FUN_040106_SAMD9L_4"
"201","FUN_022744_MCF2L2_1"
"202","FUN_014428_DNAH5_4"
"203","FUN_000357_ITGA4_2"
"204","FUN_005434_SEPTIN7_2"
"205","FUN_053756_CCDC88A"
"206","FUN_049527_LMAN2L_1"
"207","FUN_043212_BACE2_1"
"208","FUN_014930_hypothetical_protein"
"209","FUN_037880_ATP6AP1_3"
"210","FUN_029732_POLR3GL_2"
"211","FUN_013437_hypothetical_protein"
"212","FUN_032757_CFAP69"
"213","FUN_046046_hypothetical_protein"
"214","FUN_041541_ninj2"
"215","FUN_016394_KRTCAP2"
"216","FUN_005469_CEP41_1"
"217","FUN_003784_hypothetical_protein"
"218","FUN_037467_hypothetical_protein"
"219","FUN_029972_PCDH7_3"
"220","FUN_042545_hypothetical_protein"
"221","FUN_049650_YWHAG1"
"222","FUN_034012_DCTN4_1"
"223","FUN_046121_TSPAN36"
"224","FUN_005745_hypothetical_protein"
"225","FUN_010769_ARNTL2"
"226","FUN_005421_SLC7A5_3"
"227","FUN_055149_hypothetical_protein"
"228","FUN_014777_GALNT11_1"
"229","FUN_038225_hypothetical_protein"
"230","FUN_019686_hypothetical_protein"
"231","FUN_052135_hypothetical_protein"
"232","FUN_049439_hypothetical_protein"
"233","FUN_030443_hypothetical_protein"
"234","FUN_029574_GABBR1_11"
"235","FUN_010696_ZFPM1"
"236","FUN_043709_DLGAP1_1"
"237","FUN_005480_DUSP6"
"238","FUN_048300_RAPH1_7"
"239","FUN_034195_hypothetical_protein"
"240","FUN_031422_DRCC1"
"241","FUN_041216_hypothetical_protein"
"242","FUN_050210_CLIP2_1"
"243","FUN_051669_NKAIN1"
"244","FUN_049615_TRPV1_2"
"245","FUN_024162_CSGALNACT1_3"
"246","FUN_039361_CHEK1"
"247","FUN_046524_hypothetical_protein"
"248","FUN_025641_hypothetical_protein"
"249","FUN_018476_SCHIP1_1"
"250","FUN_028730_hypothetical_protein"
"251","FUN_028712_hypothetical_protein"
"252","FUN_050822_hypothetical_protein"
"253","FUN_049566_CDCA5"
"254","FUN_013694_GPM6A_2"
"255","FUN_056845_PLXND1_4"
"256","FUN_026773_hypothetical_protein"
"257","FUN_002618_RABL6"
"258","FUN_004664_RDH5"
"259","FUN_049497_FBXW5"
"260","FUN_025717_hypothetical_protein"
"261","FUN_043710_DLGAP1_2"
"262","FUN_003431_hypothetical_protein"
"263","FUN_036042_ORC1"
"264","FUN_028333_hypothetical_protein"
"265","FUN_018295_hypothetical_protein"
"266","FUN_023804_hypothetical_protein"
"267","FUN_050617_SMARCA1"
"268","FUN_035470_hypothetical_protein"
"269","FUN_020922_KIFAP3_1"
"270","FUN_060143_PKD1L2_5"
"271","FUN_014789_hypothetical_protein"
"272","FUN_049473_hypothetical_protein"
"273","FUN_040678_MAPK11_1"
"274","FUN_020488_TBX2B_1"
"275","FUN_014830_CHST2_1"
"276","FUN_037620_DAD1_1"
"277","FUN_000941_GPR89A"
"278","FUN_022685_SCAMP4"
"279","FUN_026739_SYDE1"
"280","FUN_023667_PTPLAD1_2"
"281","FUN_043214_BACE2_2"
"282","FUN_006822_hypothetical_protein"
"283","FUN_046350_CDKN2C"
"284","FUN_039216_RFC2"
"285","FUN_000954_hypothetical_protein"
"286","FUN_004591_PCBP4_3"
"287","FUN_050495_MARK4_4"
"288","FUN_018317_MAP1S_1"
"289","FUN_048606_hypothetical_protein"
"290","FUN_031892_HS1BP3_1"
"291","FUN_000953_hypothetical_protein"
"292","FUN_043550_PIP4K2A_1"
"293","FUN_015207_hypothetical_protein"
"294","FUN_002163_hypothetical_protein"
"295","FUN_035859_ATP1B1_1"
"296","FUN_051133_COLGALT1_4"
"297","FUN_044229_ATP8A2_2"
"298","FUN_051188_OLFM2_4"
"299","FUN_054636_CHRNB2_3"
"300","FUN_049542_TBX3_1"
"301","FUN_013314_ATP2A2_1"
"302","FUN_056343_MEGF9"
"303","FUN_031654_AHI1"
"304","FUN_043700_cdh18"
"305","FUN_025334_CUX1_1"
"306","FUN_029474_PIP4P2"
"307","FUN_054119_hypothetical_protein"
"308","FUN_056498_hypothetical_protein"
"309","FUN_048298_RAPH1_6"
"310","FUN_049427_hypothetical_protein"
"311","FUN_005103_PCDH18_1"
"312","FUN_060227_CRACR2B_2"
"313","FUN_022276_hypothetical_protein"
"314","FUN_020324_hypothetical_protein"
"315","FUN_039318_RB1_1"
"316","FUN_050826_MC5R"
"317","FUN_027031_KIF5B_2"
"318","FUN_050588_CCDC42B"
"319","FUN_042190_GNB2_3"
"320","FUN_031893_HS1BP3_2"
"321","FUN_046448_DDX20"
"322","FUN_046713_hypothetical_protein"
"323","FUN_054398_UCHL1"
"324","FUN_031878_VASH1"
"325","FUN_004400_ACOT8"
"326","FUN_001303_DLX2A"
"327","FUN_025719_hypothetical_protein"
"328","FUN_028671_CDK15_1"
"329","FUN_034797_DYNC1I2_4"
"330","FUN_014273_hypothetical_protein"
"331","FUN_000863_UGGT2_1"
"332","FUN_013327_hypothetical_protein"
"333","FUN_045004_RIMS2_6"
"334","FUN_046408_hypothetical_protein"
"335","FUN_001072_hypothetical_protein"
"336","FUN_057380_hypothetical_protein"
"337","FUN_002191_SLC2A8"
"338","FUN_018431_TROVE2"
"339","FUN_037031_hypothetical_protein"
"340","FUN_011169_DEF8"
"341","FUN_040370_SYPL1_2"
"342","FUN_025903_hypothetical_protein"
"343","FUN_024559_hypothetical_protein"
"344","FUN_023920_hypothetical_protein"
"345","FUN_053775_hypothetical_protein"
"346","FUN_039316_ZW10"
"347","FUN_000356_ITGA4_1"
"348","FUN_001681_hypothetical_protein"
"349","FUN_020164_CADM1_1"
"350","FUN_046618_FNBP1_4"
"351","FUN_025349_MAP6_3"
"352","FUN_045376_hypothetical_protein"
"353","FUN_048388_hypothetical_protein"
"354","FUN_000902_RAB20_1"
"355","FUN_029986_hypothetical_protein"
"356","FUN_044065_RPS6KA3_1"
"357","FUN_005759_hypothetical_protein"
"358","FUN_042618_STAP2_1"
"359","FUN_055423_NAA20_2"
"360","FUN_055676_hypothetical_protein"
"361","FUN_019695_hypothetical_protein"
"362","FUN_028386_hypothetical_protein"
"363","FUN_060177_ADAMTS3_5"
"364","FUN_039521_hypothetical_protein"
"365","FUN_002624_hypothetical_protein"
"366","FUN_035752_DZIP1L"
"367","FUN_002894_hypothetical_protein"
"368","FUN_035629_RUVBL1"
"369","FUN_045135_AGO1_1"
"370","FUN_006816_GTF3C2"
"371","FUN_044035_MYBL1"
"372","FUN_020442_TAOK1_1"
"373","FUN_047942_hypothetical_protein"
"374","FUN_023207_ZFYVE9_1"
"375","FUN_021365_hypothetical_protein"
"376","FUN_049932_hypothetical_protein"
"377","FUN_043627_hypothetical_protein"
"378","FUN_005574_CPA2"
"379","FUN_059619_hypothetical_protein"
"380","FUN_052699_CHST8_2"
"381","FUN_036112_BRINP3_5"
"382","FUN_046578_SMIM15"
"383","FUN_003430_hypothetical_protein"
"384","FUN_060278_WIPF3"
"385","FUN_038250_LRRC8A_2"
"386","FUN_007087_hypothetical_protein"
"387","FUN_023949_RABGAP1_1"
"388","FUN_034162_hypothetical_protein"
"389","FUN_005899_hypothetical_protein"
"390","FUN_031498_hypothetical_protein"
"391","FUN_009100_WDR88"
"392","FUN_005843_CHRM4"
"393","FUN_043691_CDH12_4"
"394","FUN_032889_PTPN9_2"
"395","FUN_046033_PLPP1_3"
"396","FUN_029752_hypothetical_protein"
"397","FUN_042552_hypothetical_protein"
"398","FUN_009356_hypothetical_protein"
"399","FUN_002555_wsb2"
"400","FUN_044118_CSPP1_2"
"401","FUN_025962_hypothetical_protein"
"402","FUN_053194_SERPINI1"
"403","FUN_060403_hypothetical_protein"
"404","FUN_006913_SEPT9_2"
"405","FUN_023258_hypothetical_protein"
"406","FUN_005015_hypothetical_protein"
"407","FUN_014873_WDR37_3"
"408","FUN_024112_hypothetical_protein"
"409","FUN_027674_hypothetical_protein"
"410","FUN_046385_hypothetical_protein"
"411","FUN_048930_hypothetical_protein"
"412","FUN_037994_hypothetical_protein"
"413","FUN_017682_hypothetical_protein"
"414","FUN_037475_PRSS35_1"
"415","FUN_051788_hypothetical_protein"
"416","FUN_039123_RAB32"
"417","FUN_040135_SAMD9L_6"
"418","FUN_006911_SEPT9_1"
"419","FUN_012764_hypothetical_protein"
"420","FUN_060243_hypothetical_protein"
"421","FUN_026373_COMTD1"
"422","FUN_060268_KLHL8"
"423","FUN_044889_MEGF8_6"
"424","FUN_002932_EGFL6_1"
"425","FUN_005898_WDR83OS"
"426","FUN_028950_MYH10_21"
"427","FUN_006791_STXBP5_4"
"428","FUN_051617_GATAD2B_2"
"429","FUN_051147_PBX3_1"
"430","FUN_020465_WDR81"
"431","FUN_028239_hypothetical_protein"
"432","FUN_017564_TRIM7_41"
"433","FUN_005741_CSTPP1"
"434","FUN_005742_CKAP5_1"
"435","FUN_000870_hypothetical_protein"
"436","FUN_040342_SLCO1C1_2"
"437","FUN_054753_TUSC3"
"438","FUN_050015_GFM2"
"439","FUN_005573_hypothetical_protein"
"440","FUN_025661_OPN4B"
"441","FUN_021432_GFOD2"
"442","FUN_005900_TTBK1_1"
"443","FUN_049405_hypothetical_protein"
"444","FUN_005189_CCRN4L"
"445","FUN_004262_CNPY2"
"446","FUN_003702_MST1R_1"
"447","FUN_050595_AGTR2"
"448","FUN_019221_AIPL1_1"
"449","FUN_047941_hypothetical_protein"
"450","FUN_045901_FMN2_6"
"451","FUN_003685_hypothetical_protein"
"452","FUN_033999_hypothetical_protein"
"453","FUN_032603_CPEB4_1"
"454","FUN_051994_hypothetical_protein"
