"","gene"
"1483","FUN_039326_hypothetical_protein"
"1484","FUN_012252_SPRED2_1"
"1485","FUN_017990_hypothetical_protein"
"1486","FUN_054668_hypothetical_protein"
"1487","FUN_045327_BOLA1"
"1488","FUN_021954_MMP15_2"
"1489","FUN_008785_hypothetical_protein"
"1490","FUN_055319_hypothetical_protein"
"1491","FUN_041543_hypothetical_protein"
"1492","FUN_021599_hypothetical_protein"
"1493","FUN_050247_hypothetical_protein"
"1494","FUN_021846_hypothetical_protein"
"1495","FUN_051335_NFATC1_6"
"1496","FUN_003342_SH3BP4_3"
"1497","FUN_046978_SEMA6B_5"
"1498","FUN_043862_hypothetical_protein"
"1499","FUN_022161_PCSK6_4"
"1500","FUN_049806_STK36_3"
"1501","FUN_010920_DVL3_1"
"1502","FUN_059558_GBGT1_17"
"1503","FUN_056415_DUSP2"
"1504","FUN_036010_hypothetical_protein"
"1505","FUN_005468_CPA1_2"
"1506","FUN_000887_PDIA5_1"
"1507","FUN_004708_TSEN2"
"1508","FUN_018278_LYPLA1"
"1509","FUN_000833_hypothetical_protein"
"1510","FUN_036640_GAS8_5"
"1511","FUN_003119_PLD1_3"
"1512","FUN_001343_hypothetical_protein"
"1513","FUN_029561_VARS2"
"1514","FUN_005481_hypothetical_protein"
"1515","FUN_046828_SLC6A6_3"
"1516","FUN_005878_CD59_1"
"1517","FUN_027881_hypothetical_protein"
"1518","FUN_004722_ATG7_1"
"1519","FUN_013354_RGS12_1"
"1520","FUN_044888_MEGF8_5"
"1521","FUN_046038_LRRC2"
"1522","FUN_039226_hypothetical_protein"
"1523","FUN_048813_CD97_2"
"1524","FUN_013994_RBP5"
"1525","FUN_014682_hypothetical_protein"
"1526","FUN_056639_RMI1"
"1527","FUN_010328_WNT8A_1"
"1528","FUN_038465_AQP7"
"1529","FUN_011449_hypothetical_protein"
"1530","FUN_045716_hypothetical_protein"
"1531","FUN_013397_MAML3_3"
"1532","FUN_021398_SCUBE2"
"1533","FUN_017705_TM4SF5"
"1534","FUN_011502_hypothetical_protein"
"1535","FUN_056562_hypothetical_protein"
"1536","FUN_034197_DDAH2_1"
"1537","FUN_014200_CDK5"
"1538","FUN_039448_WDR34"
"1539","FUN_005714_hypothetical_protein"
"1540","FUN_044998_RIMS2_2"
"1541","FUN_051523_CSMD2_2"
"1542","FUN_012976_CALHM2"
"1543","FUN_022414_RPP21"
"1544","FUN_060056_hypothetical_protein"
"1545","FUN_046018_EHBP1_3"
"1546","FUN_042873_hypothetical_protein"
"1547","FUN_010336_ABLIM3_1"
"1548","FUN_025419_MYH9_24"
"1549","FUN_015210_TOP1_3"
"1550","FUN_042432_TPGS1"
"1551","FUN_035975_FOXD3"
"1552","FUN_037705_DCLK2_4"
"1553","FUN_026392_hypothetical_protein"
"1554","FUN_050140_hypothetical_protein"
"1555","FUN_038362_hypothetical_protein"
"1556","FUN_016469_TOMM40_2"
"1557","FUN_012456_hypothetical_protein"
"1558","FUN_026849_NPLOC4"
"1559","FUN_048297_hypothetical_protein"
"1560","FUN_015462_GPN2"
"1561","FUN_057559_MTHFD2"
"1562","FUN_039529_MFHAS1"
"1563","FUN_040470_NLRP12_158"
"1564","FUN_060343_hypothetical_protein"
"1565","FUN_022334_ATP11B_1"
"1566","FUN_054621_CHRFAM7A"
"1567","FUN_046572_CBWD1"
"1568","FUN_015352_UBE3D_1"
"1569","FUN_001188_CLN5"
"1570","FUN_001902_NXPE3_16"
"1571","FUN_027504_hypothetical_protein"
"1572","FUN_029409_SPIRE1_4"
"1573","FUN_040141_SAMD9L_10"
"1574","FUN_035642_AKAP14"
"1575","FUN_004842_DYNLRB1"
"1576","FUN_003195_hypothetical_protein"
"1577","FUN_033430_TLN2"
"1578","FUN_046571_hypothetical_protein"
"1579","FUN_000507_PLBD2_1"
"1580","FUN_059419_hypothetical_protein"
"1581","FUN_039165_SDF2"
"1582","FUN_003646_hypothetical_protein"
"1583","FUN_013445_PAPSS1_2"
"1584","FUN_013241_VPS26A"
"1585","FUN_043652_hypothetical_protein"
"1586","FUN_034617_OCA2_4"
"1587","FUN_022556_ATPAF1"
"1588","FUN_050157_POLR2J"
"1589","FUN_031393_hypothetical_protein"
"1590","FUN_050281_hypothetical_protein"
"1591","FUN_043639_RNF31_3"
"1592","FUN_000825_MCF2L_1"
"1593","FUN_019162_KLC2"
"1594","FUN_022335_ATP11B_2"
"1595","FUN_009187_hypothetical_protein"
"1596","FUN_004913_IPO9_3"
"1597","FUN_054565_CLEC17A_4"
"1598","FUN_006884_hypothetical_protein"
"1599","FUN_049180_NACC2_2"
"1600","FUN_029665_CDK5R1_3"
"1601","FUN_039445_SNRPD3"
"1602","FUN_004130_CSF1"
"1603","FUN_012647_hypothetical_protein"
"1604","FUN_039523_hypothetical_protein"
"1605","FUN_000992_hypothetical_protein"
"1606","FUN_003683_hypothetical_protein"
"1607","FUN_052649_hypothetical_protein"
"1608","FUN_049485_hypothetical_protein"
"1609","FUN_012453_hypothetical_protein"
"1610","FUN_045191_RAB5A"
"1611","FUN_003423_MED20"
"1612","FUN_004402_IFT52"
"1613","FUN_037574_E2F1"
"1614","FUN_014825_TRPC1_1"
"1615","FUN_038533_hypothetical_protein"
"1616","FUN_008978_GRIA3_4"
"1617","FUN_018970_hypothetical_protein"
"1618","FUN_049692_SH3GLB2"
"1619","FUN_055996_hypothetical_protein"
"1620","FUN_039006_DPP3_1"
"1621","FUN_005465_hypothetical_protein"
"1622","FUN_028066_TAOK2_3"
"1623","FUN_051643_PSMB4"
"1624","FUN_010742_hypothetical_protein"
"1625","FUN_038619_CKS2"
"1626","FUN_010746_hypothetical_protein"
"1627","FUN_039887_SPRY4"
"1628","FUN_054484_TLL1_3"
"1629","FUN_056349_hypothetical_protein"
"1630","FUN_005738_CRY2"
"1631","FUN_009856_GM2A"
"1632","FUN_050592_TPCN1"
"1633","FUN_014961_SNX16_2"
"1634","FUN_031344_ELMSAN1"
"1635","FUN_019404_SH3BGRL"
"1636","FUN_052318_DMXL2_1"
"1637","FUN_057476_hypothetical_protein"
"1638","FUN_021372_LMO1_1"
"1639","FUN_043484_ARHGEF2_3"
"1640","FUN_004288_MRPS16"
"1641","FUN_002130_hypothetical_protein"
"1642","FUN_054442_hypothetical_protein"
"1643","FUN_019220_hypothetical_protein"
"1644","FUN_006385_GABRR2_1"
"1645","FUN_056031_hypothetical_protein"
"1646","FUN_002684_PEBP1"
"1647","FUN_036756_KIF1C_2"
"1648","FUN_036985_hypothetical_protein"
"1649","FUN_016728_hypothetical_protein"
"1650","FUN_004125_ATP2B4_3"
"1651","FUN_030919_DYNC1H1_5"
"1652","FUN_002410_DNAJB5_1"
"1653","FUN_028939_WDR16"
"1654","FUN_012528_hypothetical_protein"
"1655","FUN_007535_CYP2K1_2"
"1656","FUN_015337_hypothetical_protein"
"1657","FUN_013228_RUFY2_2"
"1658","FUN_031345_hypothetical_protein"
"1659","FUN_038857_ABHD15"
"1660","FUN_060191_hypothetical_protein"
"1661","FUN_003158_hypothetical_protein"
"1662","FUN_012253_SPRED2_2"
"1663","FUN_005782_ACSF3_3"
"1664","FUN_049561_DQX1"
"1665","FUN_049468_PIK3R1_3"
"1666","FUN_037046_hypothetical_protein"
"1667","FUN_045746_DPYSL2_3"
"1668","FUN_046342_TOR3A"
"1669","FUN_003456_SZRD1_1"
"1670","FUN_025363_LHFPL6_4"
"1671","FUN_016176_hypothetical_protein"
"1672","FUN_027261_BEND6"
"1673","FUN_038261_MZT2B"
"1674","FUN_038379_STXBP1_1"
"1675","FUN_045346_hypothetical_protein"
"1676","FUN_045367_PHF1"
"1677","FUN_014201_PUS3"
"1678","FUN_016426_OSGIN2_1"
"1679","FUN_008080_RUNDC3A_1"
"1680","FUN_049436_PRR14L"
"1681","FUN_023644_MAPK8IP1_3"
"1682","FUN_007756_SYCE2"
"1683","FUN_000560_MAP4K4_2"
"1684","FUN_050479_hypothetical_protein"
"1685","FUN_052234_hypothetical_protein"
"1686","FUN_005510_hypothetical_protein"
"1687","FUN_003046_ZRANB3_2"
"1688","FUN_022979_hypothetical_protein"
"1689","FUN_055900_hypothetical_protein"
"1690","FUN_031624_TYRO3"
"1691","FUN_021559_hypothetical_protein"
"1692","FUN_042434_ISYNA1"
"1693","FUN_041215_hypothetical_protein"
"1694","FUN_036823_SIKE1"
"1695","FUN_034233_hypothetical_protein"
"1696","FUN_033656_ADAM10_4"
"1697","FUN_056842_hypothetical_protein"
"1698","FUN_030617_hypothetical_protein"
"1699","FUN_006492_SH3RF1_1"
"1700","FUN_001285_hypothetical_protein"
"1701","FUN_019731_IGSF11_1"
"1702","FUN_012611_hypothetical_protein"
"1703","FUN_048359_hypothetical_protein"
"1704","FUN_036956_EMC1"
"1705","FUN_047167_SPAG17"
"1706","FUN_000991_ASB11"
"1707","FUN_037348_DDX23_5"
"1708","FUN_044150_CSRNP1"
"1709","FUN_008115_ASB16"
"1710","FUN_003935_CSE1L"
"1711","FUN_019895_hypothetical_protein"
"1712","FUN_019813_EFHD1_2"
"1713","FUN_025951_CEP55_4"
"1714","FUN_030858_GREB1_2"
"1715","FUN_003846_PRICKLE3_1"
"1716","FUN_026562_hypothetical_protein"
"1717","FUN_032777_HDAC10"
"1718","FUN_049556_hypothetical_protein"
"1719","FUN_012455_hypothetical_protein"
"1720","FUN_046987_SH3GL1_4"
"1721","FUN_060401_hypothetical_protein"
"1722","FUN_035846_hypothetical_protein"
"1723","FUN_028422_hypothetical_protein"
"1724","FUN_001684_TRPM2"
"1725","FUN_049456_PRUNE2"
"1726","FUN_060282_hypothetical_protein"
"1727","FUN_005183_hypothetical_protein"
"1728","FUN_051487_NDRG1_2"
"1729","FUN_053612_hypothetical_protein"
"1730","FUN_050382_hypothetical_protein"
"1731","FUN_026369_hypothetical_protein"
"1732","FUN_045902_FMN2_7"
"1733","FUN_054564_hypothetical_protein"
"1734","FUN_015395_GPD1L"
"1735","FUN_007817_hypothetical_protein"
"1736","FUN_056117_YLPM1_1"
"1737","FUN_030604_TDP1_1"
"1738","FUN_015353_UBE3D_2"
"1739","FUN_010614_hypothetical_protein"
"1740","FUN_027505_hypothetical_protein"
"1741","FUN_026269_TCTN3"
"1742","FUN_012438_AKT3_2"
"1743","FUN_008621_hypothetical_protein"
"1744","FUN_016486_DTNBP1_2"
"1745","FUN_012336_hypothetical_protein"
"1746","FUN_045770_hypothetical_protein"
"1747","FUN_034862_hypothetical_protein"
"1748","FUN_039783_DYNLL2_2"
"1749","FUN_043866_GPROP12_4"
"1750","FUN_007878_SBK1_1"
"1751","FUN_019389_hypothetical_protein"
"1752","FUN_015417_hypothetical_protein"
"1753","FUN_003766_ZBTB40"
"1754","FUN_038197_hypothetical_protein"
"1755","FUN_049325_Surf2"
"1756","FUN_005205_hypothetical_protein"
"1757","FUN_006573_PSMG4"
"1758","FUN_014167_SLC6A3_2"
"1759","FUN_031981_hypothetical_protein"
"1760","FUN_052300_LYSMD2_1"
"1761","FUN_018318_hypothetical_protein"
"1762","FUN_029311_GRB10_4"
"1763","FUN_051742_USP43_3"
"1764","FUN_005722_PRMT7"
"1765","FUN_019601_hypothetical_protein"
"1766","FUN_005186_SLU7"
"1767","FUN_003699_hypothetical_protein"
"1768","FUN_054041_EMC4_2"
"1769","FUN_029059_hypothetical_protein"
"1770","FUN_001230_CHMP2B_1"
"1771","FUN_046344_hypothetical_protein"
"1772","FUN_021785_DRD4_1"
"1773","FUN_012216_hypothetical_protein"
"1774","FUN_009205_CHD9_1"
"1775","FUN_024235_hypothetical_protein"
"1776","FUN_018696_ENOSF1"
"1777","FUN_000546_PRDM9_6"
"1778","FUN_013844_PSIP1"
"1779","FUN_022069_hypothetical_protein"
"1780","FUN_052284_MYO5A_6"
"1781","FUN_020901_KATNAL1"
"1782","FUN_020018_RAB34_2"
"1783","FUN_010011_MAP7D3_1"
"1784","FUN_046620_IFT81_1"
"1785","FUN_023672_hypothetical_protein"
"1786","FUN_051219_hypothetical_protein"
"1787","FUN_025558_NRIP1_2"
"1788","FUN_052946_TLDC1"
"1789","FUN_045904_RGS7_3"
"1790","FUN_005598_PPFIBP2_3"
"1791","FUN_049837_IFT22"
"1792","FUN_027371_apn-1"
"1793","FUN_005016_hypothetical_protein"
"1794","FUN_027849_ASAH2"
"1795","FUN_049717_ANKFY1_3"
"1796","FUN_051333_NFATC1_4"
"1797","FUN_037063_NSFL1C_2"
"1798","FUN_048596_TAF5L"
"1799","FUN_049555_EXOSC2"
"1800","FUN_041868_hypothetical_protein"
"1801","FUN_053764_PLD5_1"
"1802","FUN_037584_TTI1"
"1803","FUN_051948_LLGL1"
"1804","FUN_031546_hypothetical_protein"
"1805","FUN_007870_MCM5"
"1806","FUN_012482_hypothetical_protein"
"1807","FUN_054411_LDB2_5"
"1808","FUN_033604_THOC5"
"1809","FUN_024134_hypothetical_protein"
"1810","FUN_033465_EIF3J_2"
"1811","FUN_016395_hypothetical_protein"
"1812","FUN_046683_BCAS2"
"1813","FUN_046218_hypothetical_protein"
"1814","FUN_055082_TNS3_4"
"1815","FUN_004665_BLOC1S1"
"1816","FUN_026862_hypothetical_protein"
"1817","FUN_018228_TAF6L"
"1818","FUN_056216_COX6A1"
"1819","FUN_046814_HCFC1_1"
"1820","FUN_042218_hypothetical_protein"
"1821","FUN_031682_VSNL1_1"
"1822","FUN_003940_BMP7"
"1823","FUN_008204_hypothetical_protein"
"1824","FUN_038683_ARHGAP24_2"
"1825","FUN_009457_B4GALNT4_1"
"1826","FUN_021519_hypothetical_protein"
"1827","FUN_036462_hypothetical_protein"
"1828","FUN_026843_st6galnac2_2"
"1829","FUN_026339_hypothetical_protein"
"1830","FUN_002275_hypothetical_protein"
"1831","FUN_046522_hypothetical_protein"
"1832","FUN_048566_PRDX2"
"1833","FUN_021914_MYO9A_5"
"1834","FUN_027497_MPP2_4"
"1835","FUN_043928_hypothetical_protein"
"1836","FUN_031931_hypothetical_protein"
"1837","FUN_010071_MRPL11"
"1838","FUN_041542_hypothetical_protein"
"1839","FUN_005891_CACNA1A_3"
"1840","FUN_005632_hypothetical_protein"
"1841","FUN_057350_GAS2L1_2"
"1842","FUN_018549_hypothetical_protein"
"1843","FUN_029573_GABBR1_9"
"1844","FUN_036869_hypothetical_protein"
"1845","FUN_009128_CTDSPL2_1"
"1846","FUN_020098_hypothetical_protein"
"1847","FUN_013365_LRPAP1"
"1848","FUN_007461_APOL4_1"
"1849","FUN_046331_TMCO1"
"1850","FUN_018099_ACER2_1"
"1851","FUN_054545_hypothetical_protein"
"1852","FUN_000614_hypothetical_protein"
"1853","FUN_038899_MAPK9"
"1854","FUN_040907_hypothetical_protein"
"1855","FUN_018816_CTNND2_5"
"1856","FUN_037346_DDX23_4"
"1857","FUN_010959_hypothetical_protein"
"1858","FUN_037790_HOXC12A_2"
"1859","FUN_015596_MED18"
"1860","FUN_046492_SEMA3G"
"1861","FUN_026485_CTBP2_1"
"1862","FUN_030423_SYNE3"
"1863","FUN_004611_hypothetical_protein"
"1864","FUN_030911_hypothetical_protein"
"1865","FUN_004700_ISY1"
"1866","FUN_007307_COX18_1"
"1867","FUN_020017_RAB34_1"
"1868","FUN_004421_RAP1A_1"
"1869","FUN_006648_TRAP1_2"
"1870","FUN_044006_ZFHX4_1"
"1871","FUN_021902_MYO9A_1"
"1872","FUN_046548_PRKAR2A_4"
"1873","FUN_025526_MYH10_15"
"1874","FUN_025519_hypothetical_protein"
"1875","FUN_005523_LRRC29"
"1876","FUN_019901_hypothetical_protein"
"1877","FUN_024652_hypothetical_protein"
"1878","FUN_039119_SNX12"
"1879","FUN_003947_CDH4_2"
"1880","FUN_047122_hypothetical_protein"
"1881","FUN_026725_RYR2_3"
"1882","FUN_008930_CMTM4_1"
"1883","FUN_024268_hypothetical_protein"
"1884","FUN_033372_ISLR2"
"1885","FUN_047180_hypothetical_protein"
"1886","FUN_046039_SRP19_1"
"1887","FUN_013278_GALNT2_3"
"1888","FUN_003744_hypothetical_protein"
"1889","FUN_035406_hypothetical_protein"
"1890","FUN_026794_hypothetical_protein"
"1891","FUN_040680_MAPK11_2"
"1892","FUN_055041_PSMA7_2"
"1893","FUN_000826_hypothetical_protein"
"1894","FUN_009089_VPS35_1"
"1895","FUN_010578_DENND11"
"1896","FUN_036266_hypothetical_protein"
"1897","FUN_046465_UBE2V1_2"
"1898","FUN_001209_hypothetical_protein"
"1899","FUN_015549_hypothetical_protein"
"1900","FUN_027880_hypothetical_protein"
"1901","FUN_020611_NUDT8"
"1902","FUN_027890_hypothetical_protein"
"1903","FUN_042955_EIF4E2_2"
"1904","FUN_029406_SPIRE1_1"
"1905","FUN_052380_UNC13C_10"
"1906","FUN_021305_hypothetical_protein"
"1907","FUN_005592_FAR1_2"
"1908","FUN_009088_ORC6"
"1909","FUN_042427_LINGO3_2"
"1910","FUN_012669_H2AFY2"
"1911","FUN_007850_KDELR2_1"
"1912","FUN_038187_hypothetical_protein"
"1913","FUN_049304_RGS3_4"
"1914","FUN_026793_hypothetical_protein"
"1915","FUN_039778_tlr22"
"1916","FUN_031844_hypothetical_protein"
"1917","FUN_021268_IFI30_1"
"1918","FUN_002783_hypothetical_protein"
"1919","FUN_019938_NYAP2_1"
"1920","FUN_029971_hypothetical_protein"
"1921","FUN_000525_hypothetical_protein"
"1922","FUN_005861_hypothetical_protein"
"1923","FUN_058225_DYDC1_2"
"1924","FUN_019617_ANAPC15"
"1925","FUN_015477_PHACTR4_2"
"1926","FUN_035283_hypothetical_protein"
"1927","FUN_005037_hypothetical_protein"
"1928","FUN_054630_hypothetical_protein"
"1929","FUN_023305_hypothetical_protein"
"1930","FUN_037743_ACAP3_3"
"1931","FUN_047801_hypothetical_protein"
"1932","FUN_004656_ASIC1_4"
"1933","FUN_050310_MKS1"
"1934","FUN_045039_OXR1_1"
"1935","FUN_018468_GNG5_1"
"1936","FUN_021997_BTBD10_3"
"1937","FUN_004748_IARS1_4"
"1938","FUN_038364_hypothetical_protein"
"1939","FUN_039428_PRAG1_1"
"1940","FUN_016446_DNAH8_1"
"1941","FUN_037410_PLOD3_1"
"1942","FUN_030457_AK7_5"
"1943","FUN_004177_ELMO2"
"1944","FUN_032590_SH3RF2"
"1945","FUN_004280_PARK7"
"1946","FUN_049525_PAX8"
"1947","FUN_002947_hypothetical_protein"
"1948","FUN_015958_NUDT17"
"1949","FUN_054678_hypothetical_protein"
"1950","FUN_045371_cd22"
"1951","FUN_006066_hypothetical_protein"
"1952","FUN_011338_DNAJA2_2"
"1953","FUN_058677_hypothetical_protein"
"1954","FUN_039166_hypothetical_protein"
"1955","FUN_009652_MAGI2_1"
"1956","FUN_045375_hypothetical_protein"
"1957","FUN_040710_TWF1_2"
"1958","FUN_043473_MBNL1_7"
"1959","FUN_038129_FNBP1_1"
"1960","FUN_036024_PIK3R3_1"
"1961","FUN_060335_hypothetical_protein"
"1962","FUN_046547_PRKAR2A_3"
"1963","FUN_029029_CHD4_4"
"1964","FUN_054486_hypothetical_protein"
"1965","FUN_054524_hypothetical_protein"
"1966","FUN_044709_hypothetical_protein"
"1967","FUN_004244_IGFBP6_1"
"1968","FUN_051597_MFSD2AB"
"1969","FUN_028241_hypothetical_protein"
"1970","FUN_060389_PPFIA1_4"
"1971","FUN_014448_CCR4_12"
"1972","FUN_050652_hypothetical_protein"
"1973","FUN_013025_CEP68"
"1974","FUN_019843_hypothetical_protein"
"1975","FUN_056726_CYC1_3"
"1976","FUN_027518_LRRC3C"
"1977","FUN_003691_GNAI2_1"
"1978","FUN_048365_hypothetical_protein"
"1979","FUN_022159_PCSK6_3"
"1980","FUN_004080_hypothetical_protein"
"1981","FUN_053319_hypothetical_protein"
"1982","FUN_001978_SERINC5"
"1983","FUN_055380_NDUFAF7"
"1984","FUN_020020_NEK8"
"1985","FUN_040373_ATXN7L1"
"1986","FUN_015342_DCTN3"
"1987","FUN_050148_AP2B1_1"
"1988","FUN_050566_hypothetical_protein"
"1989","FUN_033315_PRKAR2B_2"
"1990","FUN_051513_TRAPPC3"
"1991","FUN_047601_hypothetical_protein"
"1992","FUN_015043_NRP1_2"
"1993","FUN_050533_hypothetical_protein"
"1994","FUN_003525_hypothetical_protein"
"1995","FUN_015394_hypothetical_protein"
"1996","FUN_006903_hypothetical_protein"
"1997","FUN_029737_THBS3_2"
"1998","FUN_022158_PCSK6_2"
"1999","FUN_021304_hypothetical_protein"
"2000","FUN_046988_hypothetical_protein"
"2001","FUN_004590_PCBP4_2"
"2002","FUN_031471_ALDH6A1"
"2003","FUN_028297_hypothetical_protein"
"2004","FUN_022277_POLR2H"
"2005","FUN_031838_ubr7"
"2006","FUN_052384_UNC13C_11"
"2007","FUN_028695_SCN2A_2"
"2008","FUN_016576_CADM4"
"2009","FUN_030293_NLRP12_134"
"2010","FUN_059975_hypothetical_protein"
"2011","FUN_016449_DNAH5_6"
"2012","FUN_044923_NR4A1_5"
"2013","FUN_051334_NFATC1_5"
"2014","FUN_045322_NR2F5_1"
"2015","FUN_056350_OLFML2A"
"2016","FUN_060197_CCDC40"
"2017","FUN_052372_UNC13C_4"
"2018","FUN_051815_hypothetical_protein"
"2019","FUN_000067_hypothetical_protein"
"2020","FUN_008550_TUBG2"
"2021","FUN_045313_hypothetical_protein"
"2022","FUN_060231_hypothetical_protein"
"2023","FUN_004320_CAMTA1_2"
"2024","FUN_046647_DAB2IP_3"
"2025","FUN_001394_hypothetical_protein"
"2026","FUN_051459_ELMO1_2"
"2027","FUN_027368_PDAP1_1"
"2028","FUN_043472_MBNL1_6"
"2029","FUN_003368_LRP1B_12"
"2030","FUN_006863_RPUSD1"
"2031","FUN_037512_SYDE2"
"2032","FUN_052684_hypothetical_protein"
"2033","FUN_050448_hypothetical_protein"
"2034","FUN_020784_hypothetical_protein"
"2035","FUN_045407_hypothetical_protein"
"2036","FUN_014910_hypothetical_protein"
"2037","FUN_049618_TRPV1_4"
"2038","FUN_059665_hypothetical_protein"
"2039","FUN_043488_EAF1"
"2040","FUN_026409_CDHR1_3"
"2041","FUN_043456_hypothetical_protein"
"2042","FUN_037438_SH3GL2_3"
"2043","FUN_052675_hypothetical_protein"
"2044","FUN_045095_hypothetical_protein"
"2045","FUN_041411_TTLL12_1"
"2046","FUN_013254_PRIM2_4"
"2047","FUN_005746_hypothetical_protein"
"2048","FUN_001403_CSRNP3"
"2049","FUN_045299_LAMTOR2"
"2050","FUN_010703_HAS3"
"2051","FUN_013326_METAP1_10"
"2052","FUN_024261_hypothetical_protein"
"2053","FUN_001368_OSBPL6"
"2054","FUN_057349_GAS2L1_1"
"2055","FUN_054849_hypothetical_protein"
"2056","FUN_026899_CALM2_1"
"2057","FUN_003367_LRP1B_11"
"2058","FUN_060003_hypothetical_protein"
"2059","FUN_019262_SPDL1_3"
"2060","FUN_001955_DCBLD2_2"
"2061","FUN_024978_hypothetical_protein"
"2062","FUN_019796_ccer2"
"2063","FUN_029239_SHISA7_2"
"2064","FUN_052565_hypothetical_protein"
"2065","FUN_012442_ZBTB18"
"2066","FUN_034277_hypothetical_protein"
"2067","FUN_056848_hypothetical_protein"
"2068","FUN_002858_LAMP1"
"2069","FUN_001546_FN1"
"2070","FUN_011421_SAMD9L_2"
"2071","FUN_053243_KCNK6_2"
"2072","FUN_022303_PSMD1_1"
"2073","FUN_025599_AKAP1_3"
"2074","FUN_015587_RPA2_1"
"2075","FUN_046636_MED27_4"
"2076","FUN_002219_MBLAC2"
"2077","FUN_027302_ETV4_1"
"2078","FUN_056840_PLXND1_2"
"2079","FUN_051506_AK2_1"
"2080","FUN_026751_FBXL15"
"2081","FUN_049122_PSMB6"
"2082","FUN_020042_hypothetical_protein"
"2083","FUN_029505_EIF3I"
"2084","FUN_044856_ANKS6_2"
"2085","FUN_022071_EIF4A3"
"2086","FUN_019260_HSPA9"
"2087","FUN_045421_hypothetical_protein"
"2088","FUN_049324_hypothetical_protein"
"2089","FUN_050605_hypothetical_protein"
"2090","FUN_019340_hypothetical_protein"
"2091","FUN_002399_MTMR12"
"2092","FUN_044234_SPICE1_1"
"2093","FUN_002336_hypothetical_protein"
"2094","FUN_022748_MCF2L_4"
"2095","FUN_044883_MEGF8_3"
"2096","FUN_027150_ARL3_3"
"2097","FUN_030385_NID2_5"
"2098","FUN_054145_hypothetical_protein"
"2099","FUN_004398_phactr3_2"
"2100","FUN_033588_hypothetical_protein"
"2101","FUN_037951_hypothetical_protein"
"2102","FUN_030967_HEATR5A_5"
"2103","FUN_015600_STX12_2"
"2104","FUN_011929_hypothetical_protein"
"2105","FUN_028754_ABCC6_2"
"2106","FUN_010158_hypothetical_protein"
"2107","FUN_011151_hypothetical_protein"
"2108","FUN_046786_PLXNB3_2"
"2109","FUN_022080_IRF2BP2B"
"2110","FUN_005315_EGR1"
"2111","FUN_050461_PAFAH1B2"
"2112","FUN_009851_hypothetical_protein"
"2113","FUN_005753_FAM96B"
"2114","FUN_035563_hypothetical_protein"
"2115","FUN_013808_hypothetical_protein"
"2116","FUN_060279_hypothetical_protein"
"2117","FUN_049617_TRPV1_3"
"2118","FUN_026609_MRPL27_2"
"2119","FUN_018686_hypothetical_protein"
"2120","FUN_048281_DDX39A_2"
"2121","FUN_046737_PLXNA3_3"
"2122","FUN_043352_SCHIP1_2"
"2123","FUN_046333_ALDH9A1_4"
"2124","FUN_057976_hypothetical_protein"
"2125","FUN_049691_EEIG1"
"2126","FUN_023487_UCHL5"
"2127","FUN_052994_ARHGEF17_4"
"2128","FUN_025029_ZCCHC9"
"2129","FUN_034099_MAP7D1_2"
"2130","FUN_050619_hypothetical_protein"
"2131","FUN_056912_MAGI1_6"
"2132","FUN_006562_ARHGAP39_2"
"2133","FUN_015746_ULK4_4"
"2134","FUN_047394_IFI44L_17"
"2135","FUN_048399_hypothetical_protein"
"2136","FUN_037311_MAPRE1_1"
"2137","FUN_052944_hypothetical_protein"
"2138","FUN_017982_MTMR1"
"2139","FUN_005650_ACP2"
"2140","FUN_031376_hypothetical_protein"
"2141","FUN_045571_SNAP29"
"2142","FUN_031477_hypothetical_protein"
"2143","FUN_007888_ARHGAP44"
"2144","FUN_056030_hypothetical_protein"
"2145","FUN_047914_RASA3_1"
"2146","FUN_032511_GAS2L3"
"2147","FUN_011942_PSMB1"
"2148","FUN_041348_MICAL3_7"
"2149","FUN_049721_SPNS3_1"
"2150","FUN_005494_TMTC3_1"
"2151","FUN_059664_PANX1_9"
"2152","FUN_054758_MTMR7_3"
"2153","FUN_009592_hypothetical_protein"
"2154","FUN_005173_HNRNPH1_1"
"2155","FUN_013603_DCLK2_3"
"2156","FUN_012495_LINGO2_2"
"2157","FUN_020044_hypothetical_protein"
"2158","FUN_010159_TUBB4A_1"
"2159","FUN_009611_hypothetical_protein"
"2160","FUN_005562_NDUFA9"
"2161","FUN_011170_AFG3L1"
"2162","FUN_009118_hypothetical_protein"
"2163","FUN_033274_SLC1A2_4"
"2164","FUN_035548_RAE1"
"2165","FUN_021965_DENND5A_2"
"2166","FUN_040974_CRELD2"
"2167","FUN_039192_NPAS4"
"2168","FUN_015097_TGFBR1_3"
"2169","FUN_060145_hypothetical_protein"
"2170","FUN_009310_CD81"
"2171","FUN_032543_hypothetical_protein"
"2172","FUN_012279_PPP2R5D_2"
"2173","FUN_016021_CHN2"
"2174","FUN_059667_hypothetical_protein"
"2175","FUN_053777_hypothetical_protein"
"2176","FUN_050441_hypothetical_protein"
"2177","FUN_040417_hypothetical_protein"
"2178","FUN_056850_CRELD1_2"
"2179","FUN_054544_hypothetical_protein"
"2180","FUN_028651_CCDC14"
"2181","FUN_044404_hypothetical_protein"
"2182","FUN_010735_MGAT4C"
"2183","FUN_049451_hypothetical_protein"
"2184","FUN_021564_hypothetical_protein"
"2185","FUN_037183_KIF3B"
"2186","FUN_005227_hypothetical_protein"
