"","gene"
"170","FUN_034009_GPX3"
"171","FUN_054990_EIF2B4"
"172","FUN_046275_GNAI3_2"
"173","FUN_032261_PLB1_1"
"174","FUN_054171_DDX21_1"
"175","FUN_033178_NAP1L4_2"
"176","FUN_027587_hypothetical_protein"
"177","FUN_036075_SERBP1_2"
"178","FUN_010720_hypothetical_protein"
"179","FUN_008299_YPEL3"
"180","FUN_022957_SLC1A3_1"
"181","FUN_008896_SCAF1"
"182","FUN_050641_hypothetical_protein"
"183","FUN_016062_hypothetical_protein"
"184","FUN_055177_RALGPS2_1"
"185","FUN_001169_DCAF6"
"186","FUN_033690_SPG11"
"187","FUN_053336_CHD2_1"
"188","FUN_044172_MAP3K2_2"
"189","FUN_039961_PTPN23_1"
"190","FUN_004814_WNT7A_1"
"191","FUN_031010_TECPR2"
"192","FUN_032885_SNX33_2"
"193","FUN_030100_FOXK2_4"
"194","FUN_047284_HAPSTR1_2"
"195","FUN_001430_BAZ2B_1"
"196","FUN_008875_SRRM2"
"197","FUN_013908_TET2"
"198","FUN_008867_RNF25"
"199","FUN_038797_GALNT10_2"
"200","FUN_014354_H3F3A_1"
"201","FUN_026930_hypothetical_protein"
"202","FUN_036535_hypothetical_protein"
"203","FUN_036199_hypothetical_protein"
"204","FUN_039566_hypothetical_protein"
"205","FUN_010719_AMPD3_1"
"206","FUN_036275_SLC9A8_1"
"207","FUN_000341_CWC22_1"
"208","FUN_012714_DKK1_1"
"209","FUN_008125_ITGB3_2"
"210","FUN_043475_PCSK7_1"
"211","FUN_001956_TMEM30C"
"212","FUN_030930_KLHDC2_2"
"213","FUN_018390_DVL3_2"
"214","FUN_024295_hypothetical_protein"
"215","FUN_056534_NFU1_2"
"216","FUN_013076_DMAC2L"
"217","FUN_014607_STUB1"
"218","FUN_008844_hypothetical_protein"
"219","FUN_047540_hypothetical_protein"
"220","FUN_036201_RAF1_3"
"221","FUN_007604_ERN1_3"
"222","FUN_042000_ARHGEF4_2"
"223","FUN_007526_TTC18_1"
