gene_id,Gene_symbol,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
g17714,Zfp994,159.5293492,116.2613795,147.6191577,164.0356098,124.309713,114.6832668
g17715,Zfp995,97.06303774,124.1168781,153.4462297,98.42136587,96.91943725,91.34065494
g17716,Zfp998,1.922040351,2.356649584,0,4.860314364,7.374305008,16.23833866
g17717,Zfp999,0,0,0.971178669,0,9.481249296,4.059584664
g17718,Zfpl1,91.29691669,98.97928254,120.426155,95.99120869,75.84999437,78.14700479
g17719,Zfpm1,5473.970921,5397.513098,5502.69834,2319.58503,2359.777603,2431.691214
g17720,Zfpm2,1.922040351,1.571099723,0,7.290471546,4.213888576,6.089376996
g17721,Zfr,1832.665475,1853.897673,1865.634224,1965.99716,1920.479719,1898.870727
g17722,Zfr2,21.14244386,8.641048476,20.39475205,48.60314364,67.42221722,63.93845846
g17723,Zfta,423.8098975,417.9125263,396.240897,287.9736261,273.9027574,316.6476038
g17724,Zftraf1,848.5808151,827.1840041,701.1909992,788.5860056,805.9061902,855.557468
g17725,Zfx,967.7473169,875.8880955,906.1096984,573.517095,574.1423185,486.1352635
g17726,Zfyve1,248.9042255,222.3106108,211.7169499,407.051328,445.6187169,481.0607827
g17727,Zfyve16,418.0437764,408.4859279,373.9037876,471.4504933,519.361767,495.269329
g17728,Zfyve19,203.7362772,190.1030665,143.734443,155.5300597,182.2506809,162.3833866
g17729,Zfyve21,12.49326228,17.28209695,21.36593072,21.87141464,15.80208216,18.26813099
g17730,Zfyve26,372.8758282,389.6327313,413.7221131,447.1489215,490.9180191,406.9733626
g17731,Zfyve27,238.3330036,205.0285138,217.5440219,301.3394906,323.4159482,356.2285543
g17732,Zfyve28,192.2040351,161.8232715,113.6279043,116.6475447,161.181238,138.0258786
g17733,Zfyve9,637.1563765,604.0878434,593.3901669,622.1202386,556.233292,629.235623
g17734,Zglp1,0.961020176,6.284398891,0,7.290471546,10.53472144,4.059584664
g17735,Zgpat,205.6583176,220.7395111,182.5815898,240.585561,226.496511,268.947484
g17736,Zgrf1,193.1650553,230.1661094,266.1029554,245.4458754,298.1326168,304.4688498
g17737,Zhx1,1608.747774,1503.542435,1515.038724,1215.078591,1128.268666,1092.028275
