baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,.T0.s1,.T0.s2,.T0.s3,.T96.s4,.T96.s5,.T96.s6
99.2581311,-1.106960302,0.25279421,-4.378898963,1.19E-05,5.10E-05,1600012H06Rik,1600012H06Rik,152.8022079,105.2636814,149.5615151,47.38806505,68.47568936,72.05762779
116.0950613,0.969793722,0.217671759,4.455303368,8.38E-06,3.66E-05,1600014C10Rik,1600014C10Rik,85.53079564,74.62723684,75.7519362,126.3681735,176.9833202,157.3089057
7.209147554,0.529292448,0.892103167,0.593308563,0.552974669,0.679317724,1600020E01Rik,1600020E01Rik,12.49326228,2.356649584,2.913536008,10.93570732,9.481249296,5.07448083
15.56246468,0.416208397,0.568560988,0.732038261,0.464145215,0.601117562,1600029O15Rik,1600029O15Rik,7.688161405,15.71099723,16.51003738,18.22617887,20.01597074,15.22344249
2.117608662,0.400245619,1.841302505,0.21737092,0.827919292,0.890745617,1700001G11Rik,1700001G11Rik,3.844080703,1.571099723,0,7.290471546,0,0
4.888764813,-0.263240239,1.033257758,-0.254767251,0.79890287,0.87027854,1700001G17Rik,1700001G17Rik,9.610201757,1.571099723,4.855893346,6.075392955,3.160416432,4.059584664
24.23056026,4.118250164,0.656147851,6.276405776,3.46E-10,2.41E-09,1700001J03Rik,1700001J03Rik,0,4.713299169,2.913536008,35.23727914,55.83402363,46.68522364
2.081694194,-0.905197106,1.48893813,-0.607948099,0.543221897,0.670735887,1700001K23Rik,1700001K23Rik,2.883060527,2.356649584,2.913536008,1.215078591,2.106944288,1.014896166
13.37230406,0.46176096,0.614805048,0.751068914,0.452611183,0.5899935,1700001L05Rik,1700001L05Rik,13.45428246,8.641048476,11.65414403,19.44125746,17.90902645,9.134065494
20.84800346,0.562878964,0.511969233,1.099439044,0.271576608,0.403733096,1700001O22Rik,1700001O22Rik,15.37632281,10.99769806,24.27946673,29.16188618,16.8555543,28.41709265
13.90878423,1.63238375,0.616432114,2.648116009,0.008094174,0.020959588,1700003E16Rik,1700003E16Rik,7.688161405,8.641048476,3.884714677,21.87141464,21.06944288,20.29792332
2.143449651,0.02044066,1.497082502,0.013653663,0.989106291,0.993146479,1700003M07Rik,1700003M07Rik,0.961020176,1.571099723,3.884714677,1.215078591,4.213888576,1.014896166
2.064704724,3.546802914,1.862069795,1.90476368,0.056810797,0.114458055,1700006J14Rik,1700006J14Rik,0.961020176,0,0,7.290471546,2.106944288,2.029792332
5.483461637,0.5129926,1.06083656,0.483573643,0.628688484,0.742639601,1700007E05Rik,1700007E05Rik,4.805100878,8.641048476,0,4.860314364,10.53472144,4.059584664
5.969165511,0.708630438,0.925385447,0.765767865,0.443814438,0.582091635,1700007L15Rik,1700007L15Rik,6.72714123,3.927749307,2.913536008,9.720628728,9.481249296,3.044688498
